DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
2:40:18 PM
0.00 mm;0.00 mm;0.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.110	-5.147
2	0.342	-5.179
3	1.163	-5.218
4	1.532	-5.123
5	1.569	-5.126
6	3.946	-5.170
7	4.701	-5.179
8	6.389	-5.105
9	6.616	-5.210
10	10.372	-5.275
11	10.404	-5.194
12	12.681	-5.139
13	13.203	-5.211
14	15.110	-5.168
15	16.492	-5.166
16	16.574	-5.150
17	16.675	-5.183
18	17.006	-5.151
19	17.888	-5.184
20	18.083	-5.158
21	18.904	-5.176
22	19.858	-5.178
23	22.143	-5.156
24	24.391	-5.173
25	24.592	-5.065
26	25.908	-5.179
27	27.562	-5.103
28	30.309	-5.173
29	31.277	-5.217
30	31.675	-5.126
31	33.695	-5.150
32	37.501	-5.134
33	38.708	-5.173
34	40.010	-5.200
35	40.261	-5.177
36	40.510	-5.130
37	40.906	-5.176
38	42.457	-5.066
39	56.015	-5.139
40	56.292	-5.157
41	57.556	-5.224
42	57.677	-5.208
43	58.009	-5.206
44	74.422	-5.197
45	78.470	-5.197
46	79.914	-5.166
47	82.506	-5.165
48	86.913	-5.209
49	87.972	-5.128
50	90.077	-5.176
51	90.568	-5.130
52	91.543	-5.170
53	91.615	-5.156
54	93.765	-5.187
55	94.490	-5.159
56	95.152	-5.167
57	96.869	-5.168
58	97.313	-5.205
59	97.924	-5.157
60	98.494	-5.194
61	98.890	-5.194
62	99.129	-5.169
63	99.897	-5.249
64	100.421	-5.215
65	100.571	-5.193
66	100.590	-5.333
67	100.631	-5.189
68	102.059	-5.193
69	102.117	-5.096
70	103.873	-5.138
71	104.744	-5.207
72	106.138	-5.162
73	106.778	-5.205
74	107.440	-5.170
75	108.316	-5.150
76	108.587	-5.188
77	110.521	-5.245
78	111.212	-5.176
79	111.808	-5.252
80	111.839	-5.159
81	112.321	-5.236
82	113.444	-5.140
