DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
2:48:22 PM
0.00 mm;0.00 mm;0.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	8.809	-23.248
2	45.912	-23.010
3	47.530	-23.106
4	49.947	-23.181
5	51.440	-23.551
6	56.179	-23.072
7	82.267	-22.906
8	89.025	-23.178
9	89.787	-23.055
10	98.346	-23.274
11	114.472	-23.263
12	131.579	-22.995
13	133.565	-23.134
14	136.643	-23.248
15	196.720	-23.208
16	221.829	-23.783
17	226.330	-22.971
18	226.542	-23.079
19	229.513	-22.851
20	229.769	-23.234
21	230.309	-23.180
22	261.532	-23.142
23	270.571	-23.170
24	288.732	-23.124
25	296.169	-23.238
26	334.227	-23.073
27	343.039	-22.693
28	343.384	-22.741
29	343.701	-23.065
30	343.737	-23.005
31	343.898	-23.115
32	417.944	-22.465
33	431.711	-22.955
34	494.864	-22.918
35	497.848	-22.834
36	499.423	-22.217
37	500.621	-23.125
38	502.035	-23.234
39	518.584	-22.982
40	531.034	-22.918
41	532.439	-22.902
42	533.450	-22.767
43	533.509	-22.871
44	534.213	-23.173
45	537.109	-22.853
46	544.257	-23.149
47	551.644	-23.048
48	558.592	-22.922
49	630.629	-23.028
50	631.493	-23.140
51	638.054	-23.157
52	638.302	-23.093
53	638.569	-22.879
54	641.684	-22.679
55	642.724	-22.887
56	650.781	-23.166
57	651.077	-22.586
58	652.224	-23.127
59	665.488	-23.242
60	665.976	-23.590
61	667.525	-22.541
62	672.374	-22.667
63	672.751	-23.164
64	679.473	-23.038
65	684.442	-23.013
66	685.725	-23.127
67	685.816	-23.086
68	686.646	-23.096
69	687.207	-23.109
70	687.268	-22.887
71	687.450	-23.203
72	687.475	-23.358
73	687.639	-23.249
74	687.806	-21.616
75	688.137	-22.870
76	689.267	-23.162
77	689.637	-22.973
78	692.232	-23.197
79	695.710	-23.097
80	695.789	-23.034
81	697.020	-23.151
82	698.282	-22.935
83	698.384	-22.995
84	698.781	-23.318
85	698.888	-23.119
86	699.414	-22.782
87	699.708	-23.273
88	700.712	-22.876
89	706.205	-22.866
90	707.403	-22.404
91	707.765	-23.115
92	722.511	-22.975
93	724.358	-22.985
94	727.032	-23.203
95	727.199	-23.007
96	727.313	-23.028
97	729.326	-23.173
98	731.195	-23.100
99	732.451	-22.996
100	732.533	-23.262
101	733.193	-23.098
102	734.024	-23.206
103	734.143	-23.518
104	734.484	-23.440
105	739.416	-23.037
106	740.118	-15.825
107	741.360	-23.160
108	743.726	-23.026
109	744.728	-23.155
110	746.880	-23.210
111	749.456	-23.050
112	758.825	-22.951
113	760.313	-22.592
114	777.072	-23.171
115	778.536	-22.684
116	779.061	-23.011
117	779.464	-22.966
118	780.685	-23.117
119	782.150	-23.095
120	783.255	-23.007
121	798.083	-23.292
122	799.330	-23.110
123	799.433	-23.222
124	799.771	-23.249
