DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:13:14 PM
0.00 mm;0.00 mm;-1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.054	-47.758
2	0.249	-47.257
3	0.459	-46.703
4	0.591	-47.590
5	0.680	-47.929
6	0.745	-47.976
7	0.766	-47.431
8	0.796	-48.522
9	0.909	-48.056
10	0.957	-48.483
11	0.990	-47.780
12	1.010	-48.191
13	1.192	-48.336
14	1.229	-47.284
15	1.268	-47.208
16	1.864	-46.202
17	1.943	-48.297
18	2.118	-46.909
19	6.173	-47.927
20	6.435	-47.494
21	6.474	-47.977
22	6.488	-48.011
23	6.539	-47.932
24	6.574	-47.641
25	6.603	-48.216
26	6.686	-47.872
27	6.750	-47.848
28	6.853	-47.525
29	6.856	-47.930
30	6.979	-48.146
31	6.991	-48.242
32	7.126	-47.607
33	7.356	-47.707
34	7.532	-47.956
35	7.565	-48.445
36	7.647	-48.144
37	7.695	-47.987
38	7.751	-48.210
39	7.817	-47.752
40	7.848	-48.175
41	7.904	-48.007
42	7.927	-48.424
43	7.964	-47.421
44	8.086	-47.247
45	8.175	-49.213
46	8.207	-48.156
47	8.217	-48.365
48	8.240	-47.130
49	8.290	-47.535
50	8.359	-47.559
51	8.425	-47.733
52	8.550	-47.878
53	8.601	-48.289
54	8.661	-47.527
55	8.758	-47.578
56	8.840	-47.482
57	8.920	-47.012
58	9.020	-48.827
59	9.038	-48.048
60	9.058	-46.703
61	9.137	-47.602
62	9.144	-48.115
63	9.186	-47.696
64	9.288	-47.848
65	9.306	-47.770
66	9.405	-48.195
67	9.410	-47.647
68	9.441	-48.714
69	9.487	-47.470
70	9.529	-48.535
71	9.683	-48.535
72	9.697	-47.510
73	9.705	-47.566
74	9.969	-48.197
75	10.130	-47.402
76	10.212	-48.324
77	10.228	-47.823
78	10.370	-48.046
79	10.593	-49.201
80	10.640	-47.347
81	10.935	-47.866
82	10.943	-46.695
83	10.945	-45.066
84	11.116	-46.864
85	11.199	-48.118
86	11.441	-48.518
87	11.462	-48.430
88	11.475	-48.420
89	11.771	-48.353
90	11.775	-47.676
91	11.797	-47.897
92	11.890	-47.805
