DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:13:15 PM
0.00 mm;0.00 mm;0.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.168	-48.978
2	0.203	-48.240
3	0.288	-48.512
4	0.349	-47.631
5	0.355	-48.778
6	0.490	-48.447
7	0.504	-48.676
8	0.514	-49.833
9	0.648	-49.565
10	0.674	-48.958
11	0.718	-48.469
12	0.726	-48.833
13	0.834	-48.682
14	0.881	-49.528
15	0.885	-48.745
16	1.004	-48.637
17	1.035	-49.170
18	1.053	-48.731
19	1.125	-48.393
20	1.172	-47.737
21	1.225	-48.678
22	1.238	-48.629
23	1.249	-48.874
24	1.471	-48.183
25	1.498	-48.747
26	1.510	-48.342
27	1.530	-49.009
28	1.563	-48.788
29	1.729	-48.900
30	1.755	-48.418
31	1.783	-49.469
32	1.825	-48.817
33	1.844	-48.461
34	1.860	-48.608
35	1.946	-48.923
36	1.977	-48.054
37	1.991	-49.461
38	2.111	-49.450
39	2.150	-49.487
40	2.223	-48.802
41	2.393	-48.907
42	2.505	-48.402
43	2.621	-48.586
44	2.672	-48.349
45	3.016	-48.831
46	3.312	-49.401
47	3.319	-48.165
48	3.606	-46.914
49	3.654	-49.683
50	4.262	-49.207
51	4.333	-47.719
52	4.467	-49.033
53	4.496	-48.690
54	4.647	-48.696
55	5.074	-49.041
56	5.327	-30.908
57	5.915	-49.242
58	6.023	-48.301
59	6.298	-48.422
60	6.303	-48.862
61	6.333	-49.277
62	6.337	-47.696
63	6.413	-48.373
64	6.448	-49.481
65	6.572	-48.594
66	6.591	-47.707
67	6.593	-48.463
68	6.639	-47.889
69	6.641	-48.426
70	6.997	-48.459
71	7.334	-47.077
72	8.154	-48.706
73	8.184	-48.813
74	8.547	-48.796
75	8.645	-49.048
76	8.706	-48.847
77	8.732	-48.794
78	8.748	-48.694
79	8.893	-48.528
80	8.923	-49.086
81	9.082	-48.541
82	9.205	-48.690
83	9.521	-47.956
84	9.524	-48.723
85	9.527	-48.340
86	9.597	-48.602
87	9.620	-49.493
88	9.754	-49.830
89	9.933	-49.103
90	10.113	-48.441
91	13.037	-48.312
92	13.145	-47.713
93	13.439	-47.635
94	13.699	-48.657
95	13.720	-48.990
96	13.756	-48.120
97	14.029	-48.784
98	14.064	-48.236
99	14.227	-49.107
100	14.355	-49.048
101	14.406	-47.829
102	14.414	-49.011
103	14.452	-49.375
104	14.568	-47.850
105	14.680	-47.807
106	15.035	-40.655
107	15.042	-49.154
108	15.297	-48.424
109	15.342	-9.209
110	15.729	-49.166
111	15.820	-48.093
112	16.404	-46.331
113	20.150	-48.561
114	20.185	-48.496
115	21.269	-49.236
116	21.336	-49.383
117	21.540	-48.469
118	22.222	-48.485
119	23.469	-48.931
120	23.602	-47.001
121	23.605	-49.299
122	23.839	-48.537
123	24.550	-49.293
