DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:13:11 PM
0.00 mm;0.00 mm;-2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.343	-47.641
2	0.377	-48.062
3	0.543	-47.874
4	0.602	-48.381
5	0.699	-47.790
6	0.878	-47.484
7	0.899	-48.704
8	1.025	-48.005
9	1.357	-48.073
10	1.366	-47.095
11	1.660	-47.976
12	2.407	-47.972
13	3.442	-48.332
14	3.501	-48.024
15	4.230	-48.440
16	4.237	-48.626
17	4.240	-47.662
18	4.246	-48.629
19	4.461	-48.320
20	4.853	-49.532
21	7.671	-47.690
22	7.825	-47.171
23	7.868	-47.878
24	7.936	-48.641
25	8.107	-47.991
26	8.522	-45.640
27	8.644	-48.528
28	8.907	-47.351
29	9.124	-48.457
30	9.139	-46.288
31	9.281	-16.087
32	13.177	-49.481
33	13.225	-48.095
34	13.307	-48.046
35	13.313	-4.090
36	13.347	-48.678
37	13.555	-49.029
38	13.608	-48.138
39	13.634	-47.989
40	13.709	-47.934
41	13.757	-47.686
42	13.760	-47.562
43	13.772	-47.915
44	13.876	-47.819
45	13.889	-48.328
46	13.926	-49.266
47	14.085	-47.662
48	14.243	-48.428
49	14.280	-47.985
50	14.548	-48.197
51	14.566	-48.162
52	14.597	-47.952
53	14.602	-47.983
54	15.019	-47.930
55	15.056	-26.131
56	15.177	-48.539
57	15.203	-47.529
58	15.206	-48.222
59	15.214	-47.647
60	15.446	-48.228
61	16.257	-48.036
62	18.644	-48.667
63	18.862	-47.895
64	19.612	-42.772
65	19.801	-48.545
66	20.067	-47.776
67	20.135	-47.645
68	20.243	-48.702
69	20.648	-47.333
70	20.672	-48.905
71	20.684	-48.626
72	21.102	-47.639
73	21.147	-46.589
74	21.480	-47.582
75	23.021	-48.075
76	23.890	-47.891
77	23.931	-48.332
78	23.964	-47.756
79	24.242	-47.909
80	24.300	-49.732
81	24.354	-48.030
82	24.500	-48.363
83	24.529	-48.688
84	24.664	-47.762
85	24.683	-48.441
86	24.723	-48.328
87	24.767	-48.075
88	24.793	-47.124
89	25.042	-48.986
90	25.065	-47.658
91	25.112	-47.698
92	25.716	-48.107
93	26.236	-48.042
94	26.347	-48.469
95	27.158	-47.363
96	27.860	-48.261
97	27.980	-47.860
98	28.021	-47.981
99	28.055	-49.571
100	28.106	-47.993
101	28.304	-48.631
102	28.373	-48.171
103	28.392	-48.500
104	28.535	-48.203
105	28.771	-19.396
106	29.606	-47.790
107	29.861	-5.801
108	30.430	-47.809
109	30.496	-4.969
110	30.914	-48.436
111	31.099	-47.562
112	31.327	-47.764
113	31.402	-48.477
114	31.415	-48.567
115	31.432	-47.486
116	31.451	-49.101
117	31.641	-47.660
118	37.871	-47.711
119	37.940	-47.842
120	37.953	-47.932
121	38.112	-48.553
122	38.183	-47.478
123	38.218	-47.721
124	38.252	-48.246
125	38.369	-48.657
126	38.389	-47.433
127	38.511	-48.698
128	39.105	-48.492
129	39.163	-48.735
130	39.189	-48.853
131	39.234	9.628
132	39.492	-49.438
133	39.499	-47.866
134	39.502	-49.589
135	39.511	-47.827
136	39.514	-47.966
137	39.818	-48.635
138	39.907	-48.549
139	39.942	-47.645
140	40.023	-47.161
141	40.085	-47.754
142	40.098	-47.177
143	40.118	-48.537
144	40.140	-48.187
145	40.182	-47.807
146	40.288	-47.699
147	40.325	-47.793
148	40.340	-48.796
149	40.478	-48.575
150	40.651	-48.046
151	40.801	-32.987
152	40.803	-48.248
153	40.918	-48.430
154	41.043	-48.911
155	42.954	-49.095
156	43.068	-47.453
157	43.509	-48.502
158	43.655	-48.739
159	43.663	-48.868
160	43.910	-48.445
161	44.798	-48.696
162	44.848	-48.124
163	44.977	-48.222
164	45.011	-48.209
165	45.185	-48.553
166	45.938	-47.282
167	46.119	-48.516
168	46.224	-48.373
169	46.312	-47.827
170	46.469	-47.748
171	46.483	-49.195
172	47.329	-48.269
173	47.334	-48.075
174	47.375	-48.326
175	47.927	-46.470
176	48.013	-49.268
177	48.064	-48.218
178	48.072	-47.214
179	48.259	-47.232
180	50.101	-49.475
181	51.339	-48.661
182	56.200	-49.209
183	56.484	-47.981
184	56.917	-47.897
185	57.298	-48.111
186	57.328	-49.260
187	57.466	-49.291
188	57.938	-48.316
189	57.960	-48.324
190	57.977	-48.639
191	58.241	-48.457
192	59.407	-48.608
193	59.552	-48.669
194	59.608	-48.813
195	60.182	-48.541
196	60.494	-48.422
197	60.894	-49.178
198	60.914	-48.328
199	60.954	-47.633
200	60.956	-48.553
201	61.071	-48.440
202	61.286	-48.614
203	61.915	-48.537
204	62.117	-48.026
205	62.346	-45.918
206	62.539	-48.019
207	62.694	-47.365
208	62.786	-29.570
209	62.850	-44.620
210	63.084	-49.248
211	63.154	-48.210
212	63.179	-48.645
213	63.211	-48.299
214	63.233	-48.829
215	63.313	-48.171
216	63.427	-44.162
217	63.455	-47.864
218	63.577	-49.019
219	63.712	-47.598
220	64.603	-47.703
221	64.722	-48.520
222	67.288	-47.872
223	70.773	-48.704
224	71.213	-48.156
225	72.574	-48.042
226	73.795	-48.385
227	76.153	-47.952
228	76.174	-48.577
229	76.465	-49.041
230	76.687	-48.034
231	76.906	-48.342
232	76.998	-48.050
233	77.014	-49.428
234	77.138	-47.390
235	77.254	-48.573
236	77.324	-47.729
237	77.436	-47.981
238	77.559	-48.324
239	77.570	-48.189
240	77.635	-48.314
241	77.659	-48.440
242	77.740	-48.281
