DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:17:31 PM
0.00 mm;0.00 mm;2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.071	-60.831
2	0.740	-61.362
3	1.603	-59.893
4	4.056	-60.735
5	4.228	-60.485
6	4.432	-4.604
7	4.523	-61.430
8	6.583	-60.635
9	6.788	-60.798
10	7.103	-61.830
11	7.120	-61.266
12	7.128	-59.797
13	7.171	-60.951
14	7.267	-60.772
15	7.295	-60.514
16	7.461	-60.774
17	7.549	-60.571
18	7.561	-61.888
19	7.592	-61.082
20	7.634	-60.680
21	7.756	-60.759
22	8.074	-60.982
23	10.080	-60.330
24	11.019	-62.153
25	11.022	-59.829
26	11.256	-59.690
27	11.313	-61.841
28	11.333	-60.741
29	11.376	-61.577
30	11.378	-60.684
31	12.683	-31.445
32	13.373	-61.738
33	13.514	-59.680
34	14.701	-61.426
35	15.082	-60.539
36	15.755	-60.645
37	15.976	-60.512
38	16.255	-61.062
39	16.314	-60.173
40	17.660	-60.894
41	18.778	-17.276
42	18.826	-60.626
43	18.862	-61.530
44	19.046	-60.279
45	19.187	-60.886
46	19.540	-60.631
47	19.615	-60.361
48	19.772	-61.101
49	20.874	-59.766
50	21.177	-61.197
51	23.104	-61.070
52	23.631	-60.557
53	25.953	-66.924
54	26.494	-61.195
55	26.557	-60.079
56	27.077	-60.122
57	27.272	-60.250
58	28.076	-60.201
59	28.083	-60.661
60	28.298	-60.348
61	28.526	-60.614
62	28.746	-59.592
63	28.748	-63.672
64	29.174	-60.318
65	29.190	-60.839
66	29.924	-59.422
67	30.050	-60.038
68	30.113	-60.273
69	30.177	-60.487
70	30.185	-61.381
71	30.757	-60.340
72	31.190	-61.107
73	31.459	-60.966
74	31.658	-60.301
75	31.701	-60.066
76	32.038	-60.154
77	32.093	-60.111
78	33.098	-60.195
79	33.224	-61.724
80	33.409	-60.522
81	33.481	-60.226
82	33.665	-63.269
83	34.064	-60.436
84	34.129	-60.250
85	34.142	-59.752
86	34.242	-60.070
87	34.266	-60.964
88	34.490	-60.725
89	34.538	-59.705
90	34.802	-60.400
91	34.881	-59.623
92	34.983	-59.846
93	35.010	-58.225
94	36.305	-59.676
95	36.767	-60.612
96	36.798	-61.015
97	37.302	-60.463
98	37.394	-60.393
99	38.760	-60.557
100	39.250	-61.234
101	39.586	-60.009
102	39.694	-60.430
103	39.840	-59.533
104	40.148	-60.089
105	40.838	-61.050
106	40.903	-62.023
107	41.283	-60.878
108	41.434	-62.182
109	41.650	-60.015
110	41.792	-60.608
111	41.930	-60.314
112	42.397	-65.596
113	42.707	-62.292
114	43.141	-60.790
115	43.144	-73.093
116	43.257	-62.247
117	43.262	-59.854
118	43.469	-61.291
119	43.524	-61.043
120	43.620	-60.902
121	43.810	-61.174
122	44.899	-60.391
123	44.993	-60.943
124	44.997	-61.164
125	45.511	-60.776
126	45.622	-60.009
127	45.861	-60.849
128	46.921	-61.295
129	46.930	-61.178
130	47.040	-60.788
131	47.130	-60.860
132	47.207	-61.565
133	47.530	-60.058
134	47.576	-60.326
135	47.709	-61.029
136	48.428	-61.608
137	48.643	-59.715
138	48.701	-60.876
139	48.743	-60.412
140	48.971	-60.481
141	49.335	-59.979
142	49.742	-60.156
143	50.339	-60.449
144	50.602	-60.579
145	52.561	-61.076
146	53.042	-60.665
147	53.202	-61.080
148	53.212	-15.178
149	53.424	-61.164
150	53.492	-60.749
151	53.576	-60.649
152	53.725	-60.443
153	53.850	-62.348
154	53.946	-61.142
155	53.979	-61.456
156	54.095	-61.371
157	55.113	-60.843
158	55.578	-61.323
159	57.270	-60.586
160	57.282	-59.944
161	57.353	-61.360
162	57.993	-62.552
163	58.019	-60.714
164	58.056	-61.056
165	59.665	-60.860
166	62.457	-61.618
167	63.145	-60.778
168	64.296	-54.384
169	65.146	-61.397
170	65.217	-60.342
171	65.266	-61.266
172	65.385	-60.295
173	66.689	-62.309
174	67.370	-61.086
175	67.441	-60.956
176	68.319	-61.138
177	68.487	-60.941
178	68.507	-60.508
179	68.785	-61.205
180	68.830	-61.338
181	69.364	-60.620
182	69.389	-60.553
183	69.554	-60.232
184	69.727	-60.299
185	69.811	-59.627
186	70.127	-60.900
187	70.203	-60.917
188	72.559	-61.277
189	73.231	-60.739
190	73.573	-60.211
191	73.602	-61.236
192	73.734	-61.277
193	73.784	-61.317
194	73.931	-60.880
195	74.046	-61.360
196	74.081	-61.646
197	74.137	-60.947
198	74.236	-61.142
199	74.252	-60.665
200	74.282	-61.501
201	74.334	-60.823
202	74.495	-66.497
203	74.617	-60.755
204	74.668	-60.639
205	74.730	-61.368
206	74.885	-63.179
207	75.039	-60.945
208	75.570	-61.387
209	75.602	-62.885
210	75.890	-61.262
211	76.080	-60.306
212	76.447	-61.422
213	77.075	-60.230
214	77.109	-60.167
215	77.173	-61.416
216	77.972	-91.335
217	79.109	-60.350
218	79.790	-60.982
219	79.865	-60.943
220	79.944	-59.533
221	80.033	-60.017
222	80.467	-60.737
223	80.469	-60.876
224	80.577	-62.157
225	83.081	-42.829
226	83.154	-60.767
227	83.310	-61.882
228	83.318	-60.629
229	83.427	-61.483
230	83.472	-61.307
231	83.600	-60.678
232	83.691	-61.743
233	83.734	-61.058
234	83.797	-60.788
235	83.856	-60.958
236	83.886	-60.489
237	83.960	-60.023
238	83.988	-60.806
239	83.993	-60.649
240	84.076	-60.821
241	84.116	-61.875
242	84.193	-60.318
243	84.205	-60.195
244	84.258	-61.845
245	84.296	-62.051
246	84.344	-61.587
247	84.373	-60.874
248	84.407	-60.259
249	84.611	-60.622
250	84.633	-61.524
251	84.652	-59.858
252	84.822	-60.749
253	84.992	-61.039
254	85.119	-59.844
255	85.218	-61.103
256	85.301	-59.735
257	85.467	-60.747
258	85.897	-61.356
259	86.161	-60.412
260	86.200	-61.043
261	86.443	-61.518
262	86.510	-60.250
263	86.581	-61.448
264	86.732	-61.491
265	86.833	-60.841
266	86.910	-58.807
267	86.917	-59.817
268	86.985	-69.287
269	87.081	-61.792
270	87.705	-60.761
271	87.739	-60.817
272	89.781	-60.814
273	90.563	-60.077
274	90.598	-60.551
275	90.887	-59.549
276	90.962	-60.798
277	91.467	-60.698
278	92.698	-60.579
279	93.472	-61.178
280	93.482	-60.784
281	93.550	-61.090
282	93.558	-60.792
283	95.352	-60.232
284	96.724	-60.612
285	96.745	-61.197
286	96.883	-60.622
287	96.929	-60.426
288	97.171	-61.648
289	97.204	-60.994
290	97.564	-60.518
291	97.717	-59.983
292	99.092	-64.124
293	99.660	-60.602
294	100.323	-61.164
295	101.894	-61.366
296	101.949	-60.790
297	102.186	-61.250
298	105.454	-68.535
299	105.692	-60.510
300	105.698	-60.138
301	105.720	-60.334
302	106.177	-61.115
303	106.383	-60.876
304	106.491	-59.850
305	106.920	-60.890
306	107.360	-60.628
307	107.416	-60.547
308	107.459	-59.596
309	108.534	-60.628
310	108.689	-60.122
311	108.764	-60.075
312	109.045	-60.195
313	109.246	-61.109
314	109.675	-59.005
315	109.998	-60.469
316	110.153	-60.982
317	110.221	-61.264
318	110.668	-60.655
319	110.820	-60.046
320	111.664	-60.547
321	111.696	-60.823
322	111.882	-59.752
323	112.016	-60.144
324	112.549	-61.072
325	112.785	-60.193
326	113.425	-60.162
327	113.784	-60.428
328	113.910	-4.400
329	113.918	-60.859
330	114.342	-60.829
331	114.398	-60.089
332	114.961	-60.671
333	114.992	-60.657
334	115.041	-61.111
335	115.438	-61.334
336	116.140	-60.073
337	117.550	-60.469
338	117.905	-41.437
339	120.126	-60.665
340	120.388	-61.328
341	120.648	-60.506
342	123.153	-60.622
343	123.286	-60.265
344	123.464	-60.534
345	123.910	-60.535
346	124.089	-60.494
347	124.634	-60.700
348	125.277	-60.956
349	126.185	-60.669
350	126.462	-60.577
351	126.554	-60.351
352	126.732	-60.857
353	126.774	-60.093
354	126.840	-63.676
355	127.481	-61.046
356	128.117	-60.704
357	128.282	-60.990
358	128.543	-60.953
359	130.165	-62.787
360	130.279	-60.547
361	130.579	-59.893
362	130.600	-60.618
363	130.641	-60.457
364	130.797	-60.238
365	131.029	-60.925
366	131.218	-60.624
367	131.407	-60.723
368	131.455	-59.688
369	131.573	-60.911
370	131.590	-59.948
371	135.290	-61.097
372	137.234	-61.193
373	139.247	-60.939
374	139.454	-60.144
375	139.614	-61.240
376	139.625	-60.949
377	140.346	-60.837
378	140.352	-61.160
379	140.450	-60.418
380	140.564	-60.714
381	140.568	-60.218
382	141.090	-62.382
383	141.988	-73.825
384	142.062	-59.911
385	142.480	-61.129
386	142.731	-60.941
387	143.015	-60.353
388	143.146	-62.444
389	143.195	-60.369
390	143.699	-60.880
391	143.794	-58.131
392	143.841	-60.698
393	144.230	-60.606
394	144.468	-59.517
395	144.612	-59.696
396	144.616	-60.040
397	144.739	-60.410
398	145.057	-60.860
399	145.157	-60.943
400	145.208	-60.933
401	145.558	-70.953
402	148.046	-60.534
403	148.764	-60.175
404	148.911	-94.961
405	149.234	-60.847
406	150.175	-60.400
407	150.228	-60.702
408	150.404	-60.261
409	150.600	-60.498
410	151.874	-60.765
411	152.262	-60.162
412	152.276	-59.279
413	152.324	-60.492
414	152.345	-60.068
415	152.636	-59.876
416	153.076	-60.179
417	153.186	-59.703
418	153.193	-60.064
419	153.307	-60.256
420	153.892	-60.778
421	154.036	-60.608
422	154.130	-60.553
423	155.684	-60.588
424	155.829	-59.878
425	156.063	-60.355
426	156.223	-60.072
427	156.407	-60.093
428	156.579	-61.133
429	157.673	-60.422
430	158.592	-60.398
431	158.633	-58.893
432	163.464	-60.545
433	163.783	-60.195
434	163.849	-59.968
435	163.895	-60.038
436	164.483	-60.148
437	164.592	-60.735
438	164.639	-60.252
439	164.677	-61.328
440	167.928	-61.025
441	168.056	-60.303
442	168.099	-60.330
443	168.867	-60.956
444	168.875	-61.234
445	168.904	-59.856
446	169.435	-61.205
447	169.449	-60.665
448	169.459	-60.886
449	171.963	-59.296
450	172.537	-60.688
451	172.561	-60.244
452	172.742	-60.976
453	172.784	-59.976
454	173.858	-60.492
455	174.559	-61.086
456	175.494	-60.418
457	175.958	-60.436
458	176.018	-60.700
459	176.270	-61.111
460	177.079	-61.687
461	177.089	-60.608
462	178.803	-62.061
463	179.026	-62.666
464	179.194	-60.945
465	179.643	-60.843
466	180.788	-60.602
467	181.130	-60.911
468	182.461	-60.860
469	182.561	-60.490
470	182.646	-61.567
471	182.735	-60.620
472	183.507	-60.888
473	184.005	-60.667
474	184.242	-60.528
475	184.907	-61.313
476	186.193	-62.233
477	187.226	-61.158
478	187.258	-60.537
479	187.382	-60.659
480	187.577	-60.432
481	188.418	-60.371
482	188.679	-61.667
483	194.966	-61.491
484	195.164	-60.207
485	195.708	-60.259
486	196.049	-60.645
487	196.915	-60.759
488	196.976	-60.240
489	197.056	-60.522
490	197.073	-60.136
491	197.075	-60.712
492	197.093	-60.900
493	197.105	-60.741
494	197.727	-60.381
495	197.796	-62.658
496	198.091	-60.402
497	198.113	-61.734
498	198.123	-60.868
499	198.402	-61.148
500	198.481	-61.260
501	198.859	-60.549
502	199.394	-60.653
503	199.429	-60.346
504	200.279	-60.847
505	200.292	-61.616
506	201.207	-60.072
507	201.533	-60.729
508	201.650	-61.086
509	201.701	-60.117
510	201.907	-60.778
511	201.939	-71.223
512	202.028	-59.255
513	202.083	-59.891
514	202.133	-60.688
515	202.136	-59.913
516	202.645	-60.234
517	202.987	-60.776
518	203.459	-62.350
519	203.608	-59.884
520	203.724	-60.896
521	203.740	-61.003
522	203.995	-60.606
523	204.036	-60.545
524	207.410	-60.643
525	207.578	-60.465
526	207.830	-60.833
527	208.099	-61.514
528	208.106	-58.445
529	208.201	-60.191
530	210.148	-61.736
531	210.439	-62.260
532	210.493	-56.455
533	211.631	-59.774
534	211.641	-58.167
535	212.019	-60.128
536	212.925	-60.203
537	213.332	-59.950
538	213.463	-60.077
539	213.885	-61.050
540	213.891	-59.846
541	214.002	-60.933
542	214.053	-59.525
543	214.606	-60.645
544	214.678	-45.324
545	215.139	-60.680
546	216.126	-59.978
547	216.276	-60.436
548	216.415	-60.968
549	216.470	-60.506
550	216.574	-60.361
551	216.613	-60.181
552	216.829	-60.463
553	216.880	-60.700
554	216.947	-60.449
555	217.505	-60.749
556	217.601	-60.310
557	218.244	-60.416
558	218.374	-60.633
559	218.640	-60.273
560	219.368	-60.085
561	219.660	-62.027
562	219.931	-60.391
563	220.682	-60.708
564	220.764	-59.488
565	220.872	-60.189
566	221.733	-60.436
567	222.648	-60.907
568	222.751	-60.841
569	224.892	-60.659
570	224.954	-60.447
571	227.553	-60.306
572	227.709	-60.457
573	228.629	-59.660
574	228.761	-60.117
575	229.668	-60.391
576	230.084	-60.334
577	230.753	-60.355
578	230.792	-59.792
579	231.282	-60.455
580	231.718	-60.526
581	232.197	-60.896
582	233.320	-60.614
583	234.273	-60.765
584	235.436	-60.465
585	235.456	-60.025
586	235.616	-60.812
587	235.929	-94.076
588	236.558	-66.244
589	236.888	-60.500
590	237.041	-59.369
591	237.249	-60.802
592	237.272	-60.894
593	237.554	-61.409
594	237.570	-60.786
595	237.676	-59.647
596	239.817	-60.751
597	240.487	-60.737
598	240.777	-60.960
599	240.911	-60.639
600	240.929	-60.138
601	241.138	-60.855
602	241.612	-61.610
603	242.565	-59.968
604	242.751	-60.023
605	243.842	-61.295
606	244.090	-60.931
607	244.123	-60.939
608	244.926	-60.030
609	245.247	-60.859
610	245.256	-62.376
611	245.480	-60.612
612	245.566	-60.072
613	245.763	-60.289
614	245.826	-60.314
615	245.889	-61.340
616	245.899	-60.849
617	246.069	-59.498
618	246.094	-61.225
619	246.459	-95.368
620	246.635	-60.890
621	246.652	-60.810
622	246.705	-60.964
623	249.611	-60.686
624	249.679	-60.353
625	249.699	-59.983
626	250.208	-59.762
627	251.192	-60.201
628	251.383	-59.281
629	251.405	-59.187
630	251.654	-60.741
631	252.314	-60.402
632	252.818	-60.812
633	253.183	-60.418
634	253.231	-61.154
635	253.504	-60.592
636	253.555	-60.598
637	254.016	-61.730
638	254.198	-60.424
639	255.293	-60.712
640	255.728	-60.784
641	256.308	-60.755
642	256.550	-60.708
643	256.600	-60.676
644	256.846	-61.665
645	257.298	-60.731
646	258.292	-60.455
647	259.069	-72.131
648	259.079	-60.304
649	260.767	-60.796
650	261.246	-61.487
651	261.362	-59.968
652	261.503	-59.551
653	261.668	-62.219
654	261.701	-59.183
655	261.844	-61.311
656	261.977	-60.614
657	262.506	-61.197
658	262.683	-60.175
659	262.753	-60.579
660	262.812	-60.148
661	263.454	-60.355
662	263.795	-60.790
663	264.061	-60.128
664	264.184	-60.604
665	264.279	-61.274
666	264.434	-60.770
667	264.625	-60.872
668	264.704	-78.858
669	264.933	-61.401
670	265.100	-60.340
671	265.284	-60.420
672	266.680	-60.661
673	267.475	-59.983
674	267.908	-60.996
675	268.179	-61.250
676	268.472	-61.045
677	269.167	-79.820
678	269.209	-65.724
679	270.864	-60.747
680	271.329	-60.780
681	271.351	-60.825
682	271.401	-61.403
683	271.425	-61.822
684	271.558	-61.448
685	271.650	-60.299
686	272.826	-41.551
687	273.219	-61.675
688	276.590	-61.093
689	277.401	-60.569
690	277.734	-60.796
691	277.786	-61.052
692	278.039	-60.224
693	278.424	-61.003
694	278.447	-60.015
695	278.658	-61.323
696	278.681	-62.043
697	278.696	-60.866
698	278.705	-60.759
699	279.891	-60.514
700	279.935	-60.109
701	279.955	-61.013
702	280.154	-60.770
703	280.528	-60.473
704	280.603	-60.162
705	280.670	-61.591
706	280.764	-61.260
707	280.830	-60.898
708	280.871	-60.117
709	280.985	-61.082
710	281.141	-60.855
711	281.195	-60.680
712	281.204	-60.107
713	281.313	-59.954
714	281.321	-60.614
715	281.495	-60.567
716	281.499	-60.017
717	281.650	-60.673
718	281.806	-60.367
719	281.965	-60.414
720	282.906	-60.870
721	282.965	-59.735
722	282.973	-60.185
723	283.023	-61.734
724	283.951	-60.921
725	284.342	-60.929
726	284.429	-60.549
727	284.933	-60.929
728	285.177	-60.876
729	285.187	-60.295
730	285.590	-61.166
731	285.828	-60.093
732	285.938	-60.735
733	285.990	-60.635
734	286.052	-60.581
735	286.060	-59.944
736	286.089	-59.515
737	286.111	-60.635
738	286.160	-60.291
739	286.292	-60.980
740	286.385	-60.951
741	286.462	-60.671
742	286.515	-62.838
743	286.925	-60.673
744	287.236	-60.941
745	287.502	-59.921
746	288.562	-61.240
747	289.162	-61.405
748	289.350	-51.837
749	289.669	-61.330
750	289.959	-60.256
751	290.071	-60.800
752	290.093	-60.892
753	291.533	-61.802
754	291.585	-61.289
755	291.800	-60.293
756	291.813	-74.111
757	292.471	-60.457
758	292.488	-63.868
759	292.543	-61.238
760	292.750	-59.598
761	292.865	-62.072
762	292.868	-60.857
763	292.877	-60.810
764	292.888	-61.082
765	294.118	-60.312
766	294.144	-60.962
767	294.345	-60.639
768	294.425	-60.837
769	294.431	-60.434
770	294.639	-60.796
771	294.853	-60.657
772	294.974	-60.772
773	295.058	-61.792
774	295.196	-60.201
775	295.387	-60.120
776	295.545	-61.007
777	295.625	-49.127
778	295.862	-59.572
779	295.950	-60.187
780	296.597	-60.727
781	296.643	-60.575
782	297.368	-61.775
783	297.670	-60.120
784	297.953	-60.054
785	298.534	-60.588
786	298.548	-61.798
787	298.613	-60.712
788	299.251	-60.393
789	299.403	-60.702
790	299.499	-60.414
791	300.385	-61.426
792	300.700	-60.377
793	300.933	-61.283
794	301.068	-60.228
795	301.173	-61.371
796	301.346	-60.839
797	301.480	-60.680
798	301.553	-59.719
799	302.469	-70.117
800	303.611	-60.774
801	303.746	-60.328
802	304.316	-10.888
803	304.369	-60.954
804	305.108	-60.958
805	305.196	-60.596
806	305.444	-60.118
807	305.473	-61.550
808	305.509	-59.617
809	305.543	-61.303
810	305.759	-60.211
811	305.767	-60.426
812	310.008	-61.095
813	310.019	-60.183
814	310.602	-60.739
815	310.785	-60.303
816	310.816	-60.643
817	310.961	-61.092
818	311.695	-70.620
819	311.717	-60.459
820	312.237	-70.342
821	314.666	-60.819
822	314.781	-61.088
823	315.967	-60.935
824	316.115	-61.608
825	316.236	-60.573
826	316.807	-60.449
827	316.899	-60.179
828	316.921	-66.239
829	317.646	-60.602
830	319.539	-60.291
831	319.840	-60.377
832	324.096	-60.776
833	325.096	-60.792
834	326.136	-60.962
835	327.123	-60.792
836	327.522	-60.633
837	327.964	-60.763
838	328.251	-61.291
839	328.446	-60.267
840	328.470	-61.947
841	328.522	-60.698
842	329.447	-59.398
843	330.298	-61.103
844	330.416	-60.996
845	331.849	-60.434
846	332.535	-61.021
847	334.192	-60.026
848	334.396	-60.107
849	334.406	-60.240
850	334.589	-58.063
851	335.081	-61.370
852	335.793	-61.491
853	336.088	-60.594
854	337.319	-61.612
855	341.105	-61.695
856	341.279	-61.861
857	342.101	-61.432
858	342.981	-61.691
859	343.336	-60.974
860	343.556	-59.651
861	343.651	-61.227
862	343.971	-61.209
863	344.708	-63.836
864	345.072	-88.577
865	345.106	-61.170
866	345.289	-61.086
867	345.841	-60.939
868	346.049	-60.802
869	346.074	-70.681
870	346.324	-61.217
871	346.791	-60.539
872	346.807	-61.346
873	346.810	-60.075
874	346.947	-60.165
875	347.977	-61.019
876	347.995	-60.344
877	348.162	-60.776
878	348.522	-60.314
879	348.638	-61.301
880	348.837	-60.747
881	348.888	-58.028
882	349.071	-60.118
883	349.515	-62.023
884	349.746	-61.240
885	349.775	-61.389
886	349.995	-62.131
887	350.035	-60.933
888	350.080	-61.583
889	350.336	-61.330
890	350.627	-59.130
891	351.262	-61.604
892	351.830	-60.148
893	351.902	-60.976
894	352.307	-61.452
895	352.428	-61.534
896	353.228	-45.114
897	353.562	-61.215
898	354.089	-61.947
899	354.584	-61.127
900	354.668	-60.763
901	354.683	-60.759
902	354.767	-61.274
903	354.774	-60.721
904	354.839	-61.043
905	355.010	-60.945
906	355.016	-60.904
907	355.049	-60.765
908	355.083	-49.550
909	355.103	-60.999
910	355.177	-59.028
911	355.210	-61.375
912	355.246	-61.095
913	355.525	-60.723
914	355.681	-60.522
915	355.815	-60.900
916	355.911	-61.673
917	355.972	-98.867
918	356.554	-61.068
919	356.699	-61.906
920	356.980	-60.988
921	357.201	-61.133
922	357.294	-60.880
923	357.647	-60.976
924	358.963	-60.442
925	358.999	-61.665
926	359.074	-61.027
927	359.129	-60.821
928	359.162	-61.544
929	359.171	-59.668
930	359.796	-60.792
931	359.894	-59.435
932	360.085	-60.837
933	360.525	-61.041
934	360.557	-60.890
935	360.601	-60.978
936	360.999	-60.890
937	361.129	-60.864
938	361.185	-61.510
939	361.204	-61.516
940	361.361	-60.467
941	361.372	-62.595
942	361.857	-76.832
943	362.195	-61.231
944	362.282	-61.193
945	362.407	-60.825
946	362.434	-60.252
947	362.710	-59.839
948	362.736	-60.575
949	362.751	-60.502
950	362.839	-61.820
951	363.447	-60.635
952	363.450	-60.698
953	363.458	-60.673
954	363.528	-60.128
955	363.647	-60.579
956	365.259	-61.291
957	365.500	-61.354
958	365.630	-61.203
959	365.878	-60.167
960	366.060	-61.103
961	366.131	-61.326
962	366.284	-60.418
963	366.301	-61.465
964	366.484	-60.698
965	366.497	-60.547
966	366.501	-60.933
967	367.399	-61.037
968	367.427	-60.653
969	367.442	-60.868
970	367.518	-60.931
971	368.251	-61.497
972	369.504	-61.532
973	369.555	-59.958
974	369.646	-60.604
975	369.804	-60.772
976	369.827	-60.653
977	370.700	-60.635
978	371.681	-61.462
979	373.090	-81.539
980	373.115	-60.876
981	374.583	-60.706
982	374.930	-61.785
983	375.017	-61.097
984	375.116	-60.776
985	375.158	-60.790
986	375.358	-61.197
987	375.431	-62.004
988	375.486	-59.825
989	375.548	-61.209
990	375.564	-60.559
991	375.733	-61.362
992	376.172	-61.602
993	376.260	-60.720
994	376.389	-60.772
995	376.430	-60.026
996	376.825	-60.988
997	378.439	-60.659
998	378.455	-60.620
999	379.015	-60.624
1000	379.088	-61.475
1001	379.165	-60.628
1002	379.181	-60.843
1003	379.222	-60.036
1004	379.245	-62.127
1005	379.255	-60.275
1006	379.257	-61.291
1007	379.398	-60.986
1008	379.461	-60.716
1009	379.537	-60.851
1010	379.697	-61.268
1011	380.527	-60.629
1012	382.002	-60.966
1013	382.217	-60.751
1014	382.757	-60.528
1015	382.830	-61.123
1016	383.847	-60.972
1017	383.897	-60.259
1018	383.903	-61.041
1019	383.970	-60.855
1020	384.040	-60.541
1021	384.467	-60.767
1022	384.892	-61.105
1023	385.535	-64.688
1024	386.101	-61.522
1025	386.184	-60.817
1026	386.573	-60.909
1027	387.532	-97.154
1028	387.949	-60.624
1029	388.159	-60.622
1030	388.385	-61.346
1031	388.478	-62.200
1032	388.670	-61.232
1033	388.675	-60.978
1034	388.729	-61.602
1035	389.013	-61.634
1036	389.185	-61.109
1037	389.272	-60.941
1038	389.368	-60.504
1039	389.423	-61.383
1040	389.810	-60.808
1041	389.879	-61.090
1042	390.243	-61.072
1043	390.266	-61.272
1044	390.360	-60.097
1045	390.648	-61.250
1046	391.977	-61.524
1047	391.992	-61.851
1048	392.288	-60.698
1049	392.458	-60.676
1050	392.595	-62.025
1051	392.823	-61.847
1052	392.918	-61.299
1053	393.454	-61.001
1054	393.470	-61.383
1055	393.488	-60.244
1056	393.490	-61.045
1057	393.518	-61.487
1058	393.565	-61.033
1059	396.197	-60.999
1060	396.594	-61.510
1061	396.687	-60.549
1062	396.994	-60.933
1063	397.846	-61.248
1064	397.852	-61.142
1065	398.117	-61.477
1066	398.195	-61.142
1067	399.259	-61.420
1068	399.598	-60.391
1069	399.658	-60.083
1070	399.803	-61.444
1071	401.377	-62.352
1072	403.421	-61.287
1073	404.482	-88.683
1074	407.272	-61.452
1075	407.544	-60.874
1076	408.037	-60.915
1077	408.042	-60.348
1078	408.081	-60.780
1079	408.115	-61.268
1080	408.306	-60.500
1081	408.322	-61.695
1082	408.332	-60.798
1083	408.346	-61.483
1084	408.411	-60.974
1085	409.221	-61.548
1086	409.308	-60.105
1087	409.361	-61.362
1088	409.432	-60.990
1089	409.530	-60.729
1090	409.642	-60.954
1091	409.693	-60.956
1092	409.792	-61.381
1093	409.930	-60.573
1094	409.939	-61.724
1095	410.038	-65.042
1096	410.065	-62.650
1097	411.128	-80.337
1098	411.226	-61.309
1099	411.286	-60.700
1100	412.013	-61.473
1101	412.154	-59.964
1102	412.196	-61.602
1103	412.252	-61.336
1104	412.442	-60.755
1105	419.298	-61.863
1106	419.913	-60.481
1107	420.611	-61.009
1108	420.930	-96.263
1109	421.101	-62.180
1110	421.342	-60.941
1111	421.376	-93.056
1112	421.753	-61.009
1113	421.955	-59.782
1114	422.063	-60.044
1115	422.255	-61.140
1116	422.439	-60.827
1117	422.737	-60.798
1118	423.111	-61.041
1119	423.584	-61.988
1120	423.598	-61.536
1121	423.803	-59.899
1122	423.860	-34.282
1123	424.028	-60.815
1124	424.529	-61.107
1125	424.765	-61.099
1126	424.782	-62.930
1127	424.911	-60.026
1128	425.616	-61.814
1129	426.797	-60.876
1130	426.841	-60.915
1131	426.917	-60.269
1132	427.141	-61.730
1133	427.146	-61.595
1134	427.172	-61.405
1135	427.324	-61.769
1136	427.351	-60.966
1137	428.886	-59.100
1138	429.514	-61.129
1139	430.484	-60.688
1140	430.750	-59.382
1141	431.158	-60.054
1142	431.493	-61.231
1143	431.819	-61.033
1144	431.893	-61.001
1145	432.248	-60.898
1146	432.479	-60.784
1147	433.562	-60.449
1148	435.137	-60.937
1149	435.828	-60.868
1150	436.453	-60.586
1151	436.612	-60.019
1152	436.627	-59.707
1153	436.645	-60.469
1154	436.789	-60.815
1155	436.807	-60.312
