DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:17:30 PM
0.00 mm;0.00 mm;1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.759	-60.735
2	0.819	-60.639
3	0.828	-61.540
4	0.890	-60.416
5	1.134	-61.211
6	1.255	-61.029
7	1.300	-62.801
8	1.364	-60.698
9	1.377	-60.708
10	1.430	-61.170
11	1.898	-60.340
12	1.973	-61.250
13	2.483	-60.833
14	4.213	-61.726
15	4.241	-61.646
16	4.297	-58.180
17	4.442	-58.903
18	6.247	-61.307
19	6.804	-61.015
20	6.991	-61.673
21	7.515	-61.217
22	7.641	-60.821
23	8.030	-73.191
24	9.771	-59.995
25	10.665	-59.856
26	10.678	-60.802
27	12.863	-61.287
28	13.093	-60.821
29	13.641	-60.657
30	14.477	-85.063
31	14.820	-60.044
32	15.016	-60.954
33	15.117	-60.541
34	15.221	-60.586
35	15.234	-60.557
36	15.607	-60.590
37	19.619	-60.886
38	19.837	-60.506
39	19.959	-60.459
40	20.195	-60.671
41	20.330	-60.152
42	20.377	-73.964
43	20.452	-60.032
44	20.631	-59.611
45	20.793	-60.152
46	21.000	-60.721
47	21.060	-61.205
48	21.535	-59.709
49	21.772	-61.634
50	22.026	-60.073
51	22.074	-60.434
52	22.474	-59.684
53	22.577	-60.289
54	22.644	-60.281
55	22.772	-61.481
56	22.825	-61.311
57	22.892	-60.579
58	22.973	-60.273
59	23.137	-59.545
60	23.225	-61.043
61	24.076	-60.126
62	24.083	-60.011
63	24.128	-60.490
64	24.465	-58.343
65	24.840	-60.835
66	24.937	-61.078
67	25.199	-60.336
68	26.933	-60.367
69	27.744	-60.727
70	28.107	-60.716
71	29.174	-61.199
72	29.221	-60.945
73	29.375	-60.733
74	29.711	-62.065
75	29.800	-60.808
76	30.075	-28.860
77	30.131	-60.285
78	30.180	-60.829
79	31.245	-80.536
80	34.571	-61.258
81	35.506	-59.954
82	36.213	-61.460
83	36.481	-60.943
84	36.727	-60.833
85	36.925	-60.549
86	37.040	-60.814
87	37.139	-60.320
88	37.159	-60.107
89	37.254	-60.283
90	37.287	-60.653
91	37.315	-60.651
92	37.475	-60.287
93	37.615	-62.805
94	37.711	-60.782
95	37.798	-61.783
96	37.868	-60.661
97	38.335	-60.567
98	38.518	-60.328
99	38.526	-60.418
100	39.167	-61.323
101	39.250	-47.001
102	39.392	-60.796
103	39.410	-60.763
104	39.541	-59.147
105	39.714	-60.829
106	39.768	-60.471
107	40.155	-60.248
108	40.213	-61.013
109	40.481	-58.958
110	40.962	-25.603
111	41.661	-68.846
112	41.885	-93.704
113	41.920	-60.099
114	41.922	-61.180
115	41.980	-60.563
116	41.987	-61.170
117	42.222	-61.056
118	42.330	-61.800
119	42.375	-61.001
120	42.433	-59.153
121	42.444	-60.837
122	42.469	-61.095
123	42.498	-59.752
124	42.609	-60.230
125	42.650	-61.702
126	42.658	-60.696
127	42.712	-60.651
128	42.725	-61.150
129	43.232	-60.821
130	43.343	-60.759
131	43.605	-61.601
132	43.770	-61.536
133	43.798	-61.166
134	43.806	-60.240
135	43.827	-61.332
136	43.999	-61.003
137	44.019	-57.804
138	44.023	-61.027
139	44.130	-60.919
140	44.267	-59.682
141	44.331	-60.882
142	44.695	-60.898
143	45.122	-59.786
144	45.545	-60.438
145	46.267	-60.714
146	46.791	-60.473
147	47.141	-60.485
148	47.202	-60.575
149	47.278	-60.890
150	47.705	-61.424
151	47.824	-60.520
152	47.932	-60.604
153	50.563	-60.101
154	50.769	-60.535
155	51.177	-60.154
156	51.206	-60.718
157	51.224	-60.381
158	51.230	-60.616
159	51.337	-60.665
160	52.142	-60.420
161	52.434	-59.884
162	53.306	-61.072
163	53.395	-52.651
164	56.599	-60.784
165	56.862	-60.631
166	56.909	-60.512
167	57.410	-60.220
168	57.531	-60.649
169	57.829	-60.935
170	57.932	-64.588
171	58.075	-61.093
172	58.970	-61.620
173	59.785	-60.357
174	59.875	-60.970
175	60.581	-58.597
176	62.880	-60.545
177	65.757	-61.685
178	65.904	-61.199
179	66.124	-60.138
180	66.552	-60.428
181	66.764	-60.690
182	67.909	-60.350
183	68.913	-61.270
184	71.833	-59.717
185	72.029	-61.129
186	74.226	-60.919
187	74.287	-61.133
188	74.340	-60.723
189	74.357	-61.279
190	74.845	-61.293
191	77.514	-60.808
192	77.839	-60.684
193	77.891	-60.211
194	77.907	-84.121
195	78.523	-59.259
196	78.640	-60.629
197	79.103	-60.968
198	82.128	-61.863
199	82.964	-59.204
200	83.280	-60.569
201	84.082	-60.175
202	84.215	-61.109
203	84.545	-60.001
204	85.133	-59.615
205	87.129	-60.373
206	88.017	-62.270
207	89.405	-60.755
208	89.716	-60.608
209	89.831	-60.028
210	90.042	-61.368
211	90.047	-60.257
212	90.060	-60.218
213	90.135	-61.039
214	90.209	-60.577
215	90.992	-60.257
216	91.254	-61.082
217	91.625	-60.800
218	91.697	-61.575
219	91.807	-61.285
220	92.387	-62.164
221	92.425	-59.539
222	92.457	-61.550
223	92.529	-62.292
224	92.534	-61.119
225	92.669	-60.449
226	92.864	-61.050
227	92.891	-60.659
228	93.268	-61.624
229	93.436	-59.717
230	93.613	-60.684
231	93.751	-61.289
232	94.516	-80.391
233	94.653	-64.167
234	95.107	-60.931
235	95.167	-60.336
236	95.258	-75.452
237	95.306	-59.893
238	95.517	-60.739
239	95.558	-61.736
240	95.613	-61.332
241	95.666	-61.303
242	96.222	-61.231
243	96.508	-62.331
244	97.055	-60.017
245	97.151	-81.715
246	97.406	-60.620
247	97.429	-61.009
248	98.414	-60.197
249	98.574	-60.782
250	98.576	-62.025
251	98.588	-60.804
252	98.613	-60.577
253	98.616	-60.103
254	98.657	-61.068
255	99.469	-60.992
256	101.307	-60.279
257	102.232	-60.814
258	104.576	-60.001
259	104.578	-60.931
260	105.443	-60.287
261	105.866	-60.134
262	106.398	-61.213
263	106.492	-61.099
264	106.776	-61.988
265	107.467	-60.162
266	107.931	-60.815
267	108.119	-61.121
268	108.416	-60.606
269	108.622	-60.134
270	109.049	-60.424
271	109.519	-60.804
272	110.512	-60.727
273	110.702	-60.510
274	111.310	-60.645
275	111.375	-60.508
276	111.543	-61.892
277	111.564	-74.189
278	112.004	-60.776
279	112.049	-60.929
280	112.146	-60.485
281	112.605	-60.992
282	112.715	-60.361
283	112.774	-59.864
284	112.879	-60.996
285	113.185	-60.639
286	113.228	-59.807
287	113.254	-60.739
288	113.320	-62.127
289	113.353	-61.056
290	113.496	-61.587
291	113.666	-61.781
292	113.769	-60.919
293	113.897	-60.582
294	115.427	-60.784
295	115.649	-61.994
296	115.837	-60.177
297	116.001	-61.015
298	116.085	-60.761
299	116.095	-61.413
300	116.191	-60.935
301	116.246	-60.968
302	116.257	-60.218
303	116.331	-60.868
304	116.446	-60.596
305	117.613	-61.033
306	117.643	-60.716
307	117.753	-59.357
308	119.893	-59.954
309	120.282	-60.765
310	120.412	-60.107
311	120.797	-60.814
312	121.006	-60.774
313	121.029	-60.534
314	122.348	-61.812
315	122.495	-61.013
316	122.656	-60.862
317	122.772	-60.308
318	122.882	-60.498
319	122.910	-60.265
320	123.261	-61.642
321	123.390	-59.324
322	123.417	-60.481
323	123.424	-60.725
324	123.462	-60.060
325	123.515	-60.598
326	123.540	-60.144
327	123.613	-60.749
328	123.659	-61.317
329	123.678	-60.389
330	123.797	-60.367
331	123.877	-60.314
332	123.900	-60.788
333	123.976	-60.688
334	124.230	-59.488
335	124.628	-61.589
336	124.987	-61.557
337	125.372	-59.788
338	125.516	-59.829
339	125.518	-17.779
340	125.719	-59.627
341	125.934	-61.481
342	126.262	-60.387
343	126.470	-60.306
344	126.507	-59.882
345	126.790	-59.954
346	128.938	-59.882
347	129.043	-60.261
348	129.315	-59.711
349	129.568	-60.477
350	131.081	-60.631
351	131.390	-60.684
352	134.023	-60.308
353	134.434	-61.195
354	134.678	-60.878
355	134.846	-72.012
356	134.943	-60.622
357	135.052	-60.941
358	135.078	-60.353
359	135.120	-60.410
360	135.135	-60.571
361	135.155	-60.162
362	135.276	-60.377
363	135.348	-60.943
364	135.371	-60.520
365	135.583	-59.701
366	138.873	-60.837
367	140.053	-60.081
368	140.173	-83.175
369	140.284	-61.232
370	140.328	-61.113
371	140.477	-60.306
372	140.548	-61.045
373	140.908	-60.919
374	140.945	-61.563
375	141.023	-60.537
376	141.198	-60.900
377	141.432	-99.378
378	141.493	-60.383
379	141.555	-60.185
380	141.826	-61.293
381	141.955	-60.972
382	142.414	-60.351
383	143.692	-60.534
384	145.360	-61.197
385	145.375	-60.001
386	145.417	-60.432
387	145.646	-61.354
388	145.717	-60.373
389	146.662	-61.342
390	146.844	-60.350
391	147.019	-60.882
392	147.023	-60.953
393	147.053	-61.097
394	147.190	-60.829
395	147.273	-60.798
396	147.304	-60.054
397	148.355	-60.843
398	148.554	-60.269
399	150.263	-64.263
400	151.145	-60.393
401	152.256	-47.759
402	155.741	-61.262
403	155.768	-60.322
404	155.912	-61.066
405	156.554	-60.806
406	157.037	-60.855
407	157.041	-60.167
408	157.262	-60.765
409	157.643	-60.610
410	157.691	-60.939
411	158.144	-60.815
412	158.537	-61.522
413	158.858	-60.348
414	159.064	-60.473
415	159.361	-60.543
416	159.554	-79.974
417	159.761	-60.817
418	159.768	-61.847
419	160.259	-61.700
420	160.281	-61.027
421	160.629	-60.596
422	161.227	-48.824
423	161.459	-60.892
424	162.090	-60.050
425	162.377	-60.900
426	163.654	-61.381
427	163.763	-61.926
428	163.836	-61.031
429	163.841	-60.594
430	163.993	-60.880
431	164.059	-60.158
432	164.207	-60.857
433	164.657	-60.183
434	167.381	-60.684
435	167.746	-59.956
436	168.059	-60.181
437	168.065	-60.393
438	168.204	-60.557
439	168.747	-60.326
440	169.180	-61.193
441	169.788	-61.131
442	169.893	-61.303
443	170.636	-61.054
444	170.703	-60.637
445	171.046	-60.428
446	171.100	-60.872
447	171.592	-59.756
448	171.596	-60.859
449	171.683	-60.541
450	172.473	-60.353
451	172.940	-62.018
452	172.945	-61.377
453	173.066	-61.244
454	173.102	-60.845
455	173.262	-59.621
456	174.161	-60.555
457	174.865	-59.825
458	175.095	-60.481
459	175.166	-60.782
460	175.238	-60.947
461	175.246	-59.913
462	175.328	-60.081
463	175.405	-60.494
464	175.488	-60.663
465	175.600	-60.712
466	175.667	-60.267
467	175.701	-60.843
468	175.833	-59.660
469	175.891	-60.095
470	175.923	-61.103
471	175.998	-61.193
472	176.012	-60.158
473	176.024	-60.984
474	176.102	-60.616
475	176.144	-61.393
476	176.251	-59.897
477	176.332	-61.937
478	177.030	-61.174
479	177.452	-59.271
480	177.916	-60.489
481	178.441	-60.064
482	179.396	-60.518
483	179.498	-60.526
484	179.667	-60.678
485	179.932	-88.506
486	180.034	-59.958
487	180.098	-60.077
488	180.396	-59.854
489	180.485	-60.841
490	180.561	-61.509
491	180.589	-60.281
492	180.610	-60.167
493	180.912	-60.340
494	181.189	-60.812
495	181.637	-61.458
496	181.733	-60.218
497	181.746	-61.610
498	182.121	-60.510
499	182.349	-60.355
500	182.888	-61.121
501	182.967	-60.990
502	182.980	-60.310
503	183.097	-60.496
504	183.108	-60.725
505	183.260	-60.416
506	183.277	-59.727
507	183.880	-59.764
508	183.906	-60.085
509	183.953	-61.046
510	184.741	-60.332
511	184.768	-59.713
512	184.794	-59.907
513	185.694	-60.025
514	186.152	-61.591
515	186.240	-61.599
516	186.557	-60.393
517	187.401	-60.083
518	187.726	-60.383
519	187.758	-60.028
520	187.872	-60.381
521	187.936	-60.293
522	188.028	-61.072
523	188.127	-60.244
524	189.814	-59.952
525	189.936	-13.517
526	190.449	-59.476
527	191.979	-54.944
528	193.193	-60.545
529	193.305	-60.586
530	193.604	-84.360
531	194.370	-60.561
532	194.445	-60.718
533	194.476	-60.890
534	194.691	-60.167
535	194.888	-64.304
536	195.083	-60.604
537	195.710	-60.876
538	195.765	-60.314
539	195.780	-60.706
540	195.785	-62.229
541	195.793	-60.048
542	195.933	-60.406
543	195.947	-60.537
544	196.106	-60.346
545	196.231	-60.673
546	196.471	-59.933
547	196.571	-60.177
548	196.650	-60.913
549	197.691	-60.880
550	198.035	-60.085
551	198.051	-59.672
552	198.138	-60.036
553	198.229	-59.944
554	199.563	-61.164
555	200.062	-59.788
556	200.342	-60.097
557	200.389	-60.534
558	200.434	-60.588
559	200.447	-60.393
560	200.495	-60.512
561	200.512	-59.936
562	200.827	-61.460
563	201.683	-59.842
564	202.262	-60.267
565	202.549	-60.935
566	202.758	-60.303
567	203.184	-60.569
568	203.384	-58.656
569	205.114	-60.475
570	205.281	-60.459
571	206.264	-60.430
572	206.329	-60.512
573	206.378	-60.191
574	206.772	-14.126
575	206.847	-60.839
576	206.968	-60.731
577	207.156	-61.581
578	207.176	-60.792
579	207.179	-61.456
580	207.321	-60.947
581	207.501	-60.449
582	207.589	-61.113
583	207.677	-59.905
584	209.694	-60.684
585	209.763	-59.958
586	209.867	-60.324
587	209.996	-60.784
588	210.753	-60.434
589	210.755	-60.314
590	210.811	-60.432
591	210.993	-60.398
592	211.556	-60.727
593	212.079	-60.142
594	212.124	-59.842
595	212.367	-65.724
596	212.455	-60.177
597	212.847	-61.050
598	213.150	-60.516
599	213.962	-60.741
600	214.039	-60.498
601	214.118	-58.711
602	214.124	-61.520
603	214.285	-59.602
604	214.289	-60.398
605	214.335	-59.747
606	214.589	-60.473
607	214.822	-60.700
608	215.617	-61.438
609	216.589	-60.637
610	216.669	-60.588
611	217.440	-61.305
612	217.620	-61.107
613	218.499	-60.216
614	218.604	-60.951
615	218.839	-60.524
616	219.235	-61.246
