DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:17:22 PM
0.00 mm;0.00 mm;-2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.670	-61.857
2	0.950	-61.552
3	1.334	-60.690
4	2.829	-61.663
5	4.637	-61.160
6	4.880	-60.951
7	4.998	-60.727
8	6.079	-61.097
9	6.753	-60.596
10	7.518	-60.890
11	7.768	-59.574
12	7.787	-60.165
13	7.814	-60.960
14	8.047	-61.199
15	8.100	-61.072
16	8.156	-60.614
17	8.207	-60.898
18	8.377	-60.526
19	8.594	-60.418
20	8.930	-60.077
21	10.747	-61.741
22	10.761	-61.270
23	10.966	-61.127
24	11.048	-60.996
25	11.056	-60.645
26	11.249	-62.425
27	11.296	-62.994
28	12.076	-60.937
29	12.118	-60.355
30	12.131	-60.608
31	12.163	-61.622
32	12.406	-61.593
33	12.462	-60.389
34	12.645	-61.066
35	12.770	-60.148
36	12.859	-60.710
37	12.864	-60.164
38	13.203	-62.059
39	13.265	-61.064
40	13.300	-61.115
41	13.304	-61.411
42	17.044	-60.614
43	18.328	-61.393
44	18.335	-60.831
45	18.558	-60.205
46	18.608	-61.231
47	20.125	-59.768
48	20.962	-34.313
49	25.468	-60.359
50	25.631	-60.559
51	26.365	-61.973
52	27.313	-60.637
53	27.634	-61.391
54	28.542	-59.715
55	28.853	-61.232
56	29.349	-60.209
57	29.448	-61.407
58	29.624	-60.898
59	29.962	-60.590
60	30.076	-60.138
61	30.436	-60.896
62	31.148	-60.857
63	31.326	-60.919
64	31.407	-60.248
65	32.229	-61.090
66	34.399	-60.524
67	34.468	-60.396
68	35.115	-79.226
69	37.167	-61.512
70	37.441	-60.492
71	37.680	-61.205
72	37.744	-60.757
73	39.234	-60.440
74	39.343	-60.602
75	43.348	-61.338
76	43.682	-60.633
77	43.823	-60.207
78	43.876	-60.240
79	44.136	-59.083
80	44.256	-60.770
81	46.387	-60.522
82	46.393	-75.190
83	46.440	-60.543
84	46.468	-59.283
85	46.633	-60.929
86	46.932	-60.612
87	47.005	-61.440
88	48.428	-60.704
89	48.625	-60.109
90	48.808	-61.534
91	48.965	-59.981
92	49.155	-60.551
93	49.217	-60.443
94	49.406	-60.692
95	49.796	-6.031
96	50.626	-60.753
97	51.427	-60.571
98	51.543	-60.389
99	51.870	-60.712
100	52.124	-61.017
101	52.329	-60.502
102	52.378	-61.138
103	52.947	-60.682
104	53.085	-60.906
105	53.090	-59.572
106	53.317	-61.393
107	53.513	-60.994
108	53.562	-72.218
109	53.661	-60.600
110	55.990	-61.140
111	56.742	-60.144
112	57.019	-60.355
113	62.218	-60.592
114	62.669	-61.133
115	62.719	-60.406
116	62.958	-61.135
117	62.973	-60.173
118	64.651	-60.230
119	64.845	-60.976
120	64.915	-60.516
121	65.315	-61.655
122	65.390	-60.281
123	65.410	-60.461
124	65.477	-60.434
125	67.740	-60.673
126	67.967	-14.492
127	68.035	-60.261
128	70.428	-61.105
129	70.810	-60.385
130	70.887	-61.219
131	70.924	-60.645
132	70.930	-60.586
133	70.998	-60.966
134	71.171	-60.087
135	71.177	-60.504
136	73.042	-60.814
137	73.329	-60.990
138	74.237	-62.693
139	77.352	-60.113
140	77.681	-60.782
141	77.900	-60.931
142	77.963	-61.150
143	78.079	-60.676
144	78.312	-60.784
145	78.989	-60.038
146	79.519	-59.611
147	79.664	-60.138
148	80.133	-59.122
149	80.204	-60.113
150	81.059	-59.120
151	81.732	-59.797
152	81.815	-62.380
153	82.118	-60.964
154	82.169	-59.974
155	82.195	-61.974
156	82.264	-61.244
157	82.412	-61.438
158	82.502	-60.645
159	82.597	-60.663
160	83.686	-91.623
161	85.906	-61.041
162	88.943	-61.156
163	89.293	-65.753
164	89.645	-61.471
165	90.230	-61.585
166	90.271	-60.976
167	90.376	-60.537
168	90.520	-61.201
169	90.561	-60.453
170	90.579	-60.510
171	90.672	-61.432
172	90.797	-60.651
173	91.579	-61.099
174	91.633	-61.307
175	91.681	-59.917
176	91.835	-60.696
177	91.888	-60.894
178	91.916	-60.524
179	92.705	-60.193
180	93.132	-61.070
181	93.325	-61.632
182	93.458	-60.136
183	95.612	-60.966
184	95.660	-60.277
185	95.701	-61.276
186	95.786	-59.833
187	95.997	-2.636
188	96.299	-59.972
189	97.148	-58.405
190	97.288	-60.257
191	97.502	-60.034
192	97.691	-60.976
193	100.059	-61.107
194	100.079	-60.073
195	100.096	-60.581
196	100.099	-61.859
197	100.181	-60.120
198	100.216	-60.943
199	101.740	-60.737
200	102.362	-60.757
201	102.419	-60.843
202	102.427	-60.631
203	102.691	-61.924
204	102.750	-60.496
205	102.957	-42.620
206	103.137	-60.862
207	103.298	-61.205
208	103.510	-41.079
209	103.612	-60.492
210	103.901	-60.945
211	104.239	-61.107
212	105.368	-60.635
213	105.852	-60.898
214	106.636	-61.109
215	106.722	-60.720
216	106.908	-61.313
217	106.910	-61.138
218	108.413	-62.086
219	112.311	-60.770
220	112.869	-86.478
221	113.240	-62.754
222	113.459	-60.586
223	113.708	-61.109
224	113.766	-62.059
225	113.773	-60.872
226	114.312	-60.839
227	114.374	-59.882
228	114.446	-61.487
229	114.531	-60.524
230	114.792	-60.534
231	114.823	-60.768
232	115.236	-61.123
233	116.266	-59.897
234	116.781	-61.575
235	116.798	-60.720
236	117.746	-73.833
237	118.255	-60.105
238	118.539	-61.064
239	119.263	-59.727
240	119.274	-60.951
241	119.433	-80.227
242	120.697	-61.152
243	120.714	-60.767
244	121.041	-61.103
245	121.234	-7.816
246	121.428	-60.774
247	121.844	-60.236
248	123.520	-61.066
249	124.737	-53.648
250	126.848	-60.569
251	126.884	-62.805
252	126.978	-61.393
253	127.048	-60.690
254	127.133	-60.489
255	127.278	-61.041
256	127.594	-61.039
257	129.080	-59.437
258	129.086	-61.180
259	129.089	-60.733
260	129.141	-59.445
261	129.166	-60.784
262	129.178	-60.841
263	129.267	-61.716
264	129.379	-60.209
265	130.406	-61.070
266	132.133	-60.714
267	132.797	-61.350
268	132.804	-60.843
269	132.809	-61.046
270	133.522	-60.774
271	133.943	-60.541
272	134.120	-60.338
273	136.194	-60.757
274	137.284	-67.789
275	137.588	-60.808
276	137.855	-60.338
277	138.139	-60.718
278	138.946	-61.941
279	139.212	-60.259
280	139.231	-60.829
281	139.362	-60.907
282	139.372	-60.819
283	139.442	-60.810
284	139.548	-61.321
285	139.610	-60.978
286	139.815	-61.023
287	140.002	-60.473
288	140.040	-57.959
289	140.275	-62.090
290	144.270	-60.332
291	144.483	-59.962
292	145.974	-60.802
293	145.990	-60.471
294	146.544	-61.383
295	146.712	-60.622
296	147.665	-60.447
297	148.124	-4.012
298	148.653	-60.845
299	148.809	-61.111
300	149.186	-62.519
301	149.520	-61.137
302	149.675	-60.868
303	151.025	-59.972
304	151.433	-60.974
305	151.645	-59.059
306	151.878	-60.645
307	151.899	-60.483
308	153.504	-61.792
309	155.044	-60.837
310	160.769	-59.950
311	164.107	-58.202
312	165.614	-60.915
313	169.394	-60.015
314	171.901	-60.980
315	172.103	-60.725
316	173.355	-62.045
317	173.914	-60.543
318	174.463	-60.727
319	175.305	-60.291
320	175.357	-62.086
321	175.858	-60.436
322	176.349	-59.711
323	177.781	-61.197
324	178.016	-61.231
325	178.157	-60.518
326	178.555	-60.093
327	178.763	-60.718
328	178.827	-60.412
329	179.323	-61.315
330	179.380	-60.618
331	179.398	-60.990
332	179.549	-61.164
333	179.575	-60.731
334	179.731	-61.683
335	179.966	-59.741
336	180.762	-60.165
337	180.774	-61.344
338	180.798	-60.584
339	187.978	-61.095
340	188.088	-61.622
341	188.111	-61.129
342	189.215	-60.680
343	189.427	-61.166
344	189.568	-60.737
345	189.570	-60.849
346	189.691	-59.850
347	190.583	-60.432
348	192.634	-97.667
349	193.605	-60.240
350	193.966	-60.504
351	195.673	-60.594
352	195.914	-60.723
353	195.933	-60.733
354	196.443	-60.860
355	196.606	-61.037
356	196.689	-59.760
357	196.983	-60.870
358	198.603	-60.571
359	199.536	-19.412
360	200.116	-60.400
361	200.841	-60.099
362	201.287	-60.461
363	201.708	-59.302
364	201.947	-60.825
365	202.049	-59.786
366	202.350	-60.083
367	204.107	-62.718
368	204.627	-60.326
369	204.672	-59.682
370	204.958	-60.876
371	205.081	-60.708
372	205.265	-60.396
373	205.662	-59.790
374	205.721	-61.201
375	207.278	-60.046
376	207.993	-60.594
377	209.125	-61.303
378	209.225	-60.263
379	209.283	-60.414
380	210.423	-60.465
381	211.850	-60.645
382	212.101	-60.164
383	212.523	-61.054
384	212.738	-59.997
385	213.013	-60.804
386	216.197	-60.518
387	216.687	-60.201
388	217.296	-61.070
389	217.721	-60.416
390	218.394	-60.191
391	218.522	-61.082
392	219.419	-70.698
393	220.190	-60.496
394	220.417	-60.739
395	220.964	-60.586
396	223.650	-61.050
397	223.840	-61.465
398	223.844	-60.763
399	223.985	-60.512
400	224.216	-60.833
401	224.411	-61.084
402	224.517	-60.473
403	224.636	-60.812
404	224.695	-61.003
405	224.765	-61.115
406	225.244	-60.645
407	225.248	-59.829
408	225.272	-61.007
409	225.292	-61.033
410	225.861	-60.829
411	225.890	-60.518
412	225.976	-60.124
413	226.056	-60.396
414	226.627	-61.931
415	226.705	-59.985
416	226.750	-60.555
417	226.863	-61.916
418	226.865	-60.800
419	226.930	-60.700
420	227.041	-61.236
421	227.056	-61.154
422	227.159	-62.577
423	227.285	-60.350
424	227.589	-61.090
425	229.292	-60.870
426	229.426	-61.152
427	229.593	-61.352
428	229.620	-60.017
429	229.864	-60.915
430	231.080	-60.700
431	236.588	-60.506
432	237.326	-61.882
433	237.352	-60.561
434	238.192	-60.263
435	238.234	-60.890
436	244.400	-60.680
437	244.661	-61.129
438	247.385	-60.340
439	247.476	-60.900
440	249.461	-59.776
441	252.365	-58.541
442	252.629	-61.234
443	253.025	-61.477
444	253.671	-61.168
445	254.354	-59.643
446	254.469	-59.302
447	254.661	-84.370
448	257.112	-60.395
449	257.410	-60.888
450	259.180	-60.404
451	259.278	-41.320
452	261.558	-60.416
453	261.804	-60.028
454	261.988	-60.485
455	262.087	-60.142
456	262.283	-60.443
457	262.549	-60.169
458	262.700	-60.348
459	263.259	-60.044
460	263.512	-60.557
461	264.191	-60.350
462	265.271	-60.512
463	265.844	-61.352
464	267.123	-60.301
465	267.862	-59.878
466	269.378	-60.792
467	269.685	-60.128
468	269.740	-60.316
469	270.064	-60.953
470	270.493	-60.765
471	274.988	-96.165
472	275.333	-20.395
473	275.341	-61.403
474	275.469	-37.226
475	275.523	-61.258
476	275.553	-60.158
477	275.558	-61.050
478	277.366	-61.041
479	278.539	-60.860
480	284.434	-61.162
481	284.438	-61.238
482	284.681	-61.730
483	285.120	-61.900
484	285.265	-61.305
485	285.315	-60.843
486	285.377	-87.195
487	285.853	-65.058
488	285.953	-61.268
489	286.025	-61.587
490	286.076	-60.146
491	286.466	-62.159
492	286.524	-61.845
493	286.892	-63.505
494	288.138	-60.551
495	288.209	-60.299
496	288.308	-61.092
497	288.341	-61.248
498	288.344	-61.726
499	288.492	-62.141
500	288.676	-60.880
501	288.712	-62.427
502	289.614	-61.428
503	295.007	-61.462
504	295.784	-61.460
505	296.720	-61.326
506	296.970	-60.183
507	297.020	-60.708
508	297.371	-62.399
509	297.386	-60.827
510	297.627	-60.716
511	297.777	-60.404
512	298.244	-61.906
513	298.267	-62.100
514	298.434	-60.594
515	298.471	-60.884
516	298.554	-61.033
517	298.931	-60.992
518	299.013	-61.522
519	299.054	-61.076
520	299.142	-61.121
521	300.469	-60.502
522	300.586	-60.152
523	301.037	-60.279
524	301.055	-60.657
525	301.107	-60.641
526	301.133	-59.425
527	301.206	-60.068
528	301.444	-60.633
529	302.419	-61.048
530	303.042	-61.350
531	303.410	-60.655
532	304.272	-60.772
533	304.288	-60.389
534	304.371	-60.929
535	304.627	-60.087
536	304.981	-60.481
537	305.308	-60.492
538	310.935	-59.715
539	312.053	-59.596
540	312.286	-60.455
541	312.800	-60.864
542	314.232	-60.618
543	314.730	-59.993
544	316.477	-60.573
545	316.783	-60.087
546	317.325	-60.590
547	317.594	-59.952
548	317.748	-61.254
549	318.109	-60.461
550	318.143	-60.622
551	318.156	-60.620
552	318.730	-60.567
553	318.780	-60.303
554	318.848	-60.898
555	318.964	-61.168
556	318.968	-60.839
557	320.240	-60.326
558	321.134	-60.911
559	321.222	-60.559
560	321.287	-61.174
561	321.318	-60.428
562	321.328	-60.377
563	321.347	-60.917
564	321.390	-60.729
565	321.462	-60.118
566	321.534	-61.066
567	322.235	-59.886
568	322.345	-60.581
569	324.629	-60.238
570	325.542	-60.827
571	326.309	-81.797
572	326.540	-60.651
573	326.850	-60.396
574	326.990	-59.723
575	327.125	-60.459
576	327.222	-61.456
577	328.249	-60.649
578	328.622	-61.691
579	328.963	-59.972
580	330.395	-60.906
581	335.807	-60.772
582	335.884	-60.763
583	337.838	-60.784
584	338.568	-45.527
585	338.771	-38.679
586	339.979	-62.854
587	340.268	-60.645
588	340.333	-62.086
589	342.174	-61.119
590	342.261	-61.093
591	343.367	-61.211
592	343.504	-61.397
593	343.520	-62.311
594	343.670	-61.277
595	343.822	-61.152
596	343.955	-60.522
597	345.893	-7.570
598	346.369	-102.454
599	346.401	-61.516
600	346.817	-61.199
601	346.818	-61.138
602	347.148	-61.698
603	347.328	-61.178
604	347.721	-61.904
605	354.052	-60.694
606	356.968	-61.117
607	359.674	-61.301
608	360.503	-60.810
609	360.541	-59.721
610	360.793	-61.323
611	361.403	-61.630
612	361.527	-59.453
613	362.284	-60.782
614	362.648	-59.752
615	362.895	-61.287
616	363.042	-60.678
617	363.113	-60.571
618	363.125	-60.338
619	363.153	-59.770
620	363.238	-61.252
621	363.447	-60.767
622	363.648	-61.033
623	363.982	-60.663
624	364.238	-60.379
625	366.586	-60.866
626	368.633	-62.879
627	369.194	-61.794
628	369.268	-60.796
629	369.477	-10.716
630	369.559	-61.005
631	372.412	-60.442
632	372.521	-60.130
633	372.722	-61.234
634	374.772	-60.970
635	375.129	-60.265
636	375.211	-60.676
637	375.315	-60.481
638	375.519	-60.273
639	375.932	-60.058
640	376.011	-59.754
641	376.047	-59.811
642	376.058	-59.551
643	379.050	-88.313
644	379.287	-61.033
645	379.310	-60.081
646	379.353	-60.643
647	379.464	-59.976
648	379.541	-60.739
649	379.667	-60.823
650	380.739	-59.690
651	380.841	-60.379
652	381.242	-60.549
653	381.361	-59.192
654	381.451	-60.962
655	381.458	-60.911
656	381.465	-60.015
657	381.479	-60.130
658	382.495	-60.988
659	382.508	-61.074
660	383.580	-61.747
661	383.591	-60.426
662	383.750	-60.555
663	383.763	-60.011
664	384.348	-60.849
665	384.757	-59.899
666	385.459	-61.563
667	385.656	-60.257
668	385.702	-60.473
669	385.862	-61.477
670	386.810	-61.148
671	386.822	-60.610
672	386.873	-61.393
673	387.157	-61.389
674	387.644	-60.804
675	387.702	-60.510
676	388.567	-59.766
677	389.326	-61.497
678	389.436	-61.311
679	391.355	-60.299
680	393.712	-60.459
681	393.846	-61.162
682	393.876	-60.571
683	394.222	-59.972
684	398.182	-60.551
685	398.618	-60.608
686	399.280	-60.236
687	399.368	-60.712
688	399.482	-60.645
689	399.566	-89.278
690	400.260	-60.226
691	400.314	-61.090
692	400.318	-60.739
693	400.365	-60.749
694	401.190	-60.160
695	402.060	-60.314
696	402.530	-79.826
697	402.666	-60.148
698	402.695	-61.005
699	402.748	-61.142
700	403.052	-59.572
701	405.119	-60.710
702	408.334	-59.835
703	409.183	-62.372
704	409.434	-8.987
705	409.851	-60.338
706	411.741	-59.725
707	411.907	-60.988
708	412.085	-60.232
709	412.465	-61.013
710	412.532	-60.723
711	412.687	-61.070
712	413.375	-60.191
713	413.457	-61.313
714	413.487	-60.257
715	413.510	-59.897
716	413.603	-60.692
717	413.615	-60.651
718	413.889	-60.461
719	413.896	-61.129
720	414.037	-60.749
721	414.046	-61.070
722	414.404	-60.428
723	414.650	-60.469
724	414.852	-60.400
725	414.997	-60.663
726	415.000	-59.999
727	415.239	-58.157
728	415.375	-59.694
729	415.930	-61.714
730	416.289	-59.846
731	416.322	-61.005
732	416.329	-59.651
733	416.409	-60.101
734	416.444	-60.117
735	416.476	-60.091
736	416.481	-59.670
737	416.505	-59.165
738	416.510	-60.733
739	416.511	-59.592
740	416.521	-59.938
741	416.523	-61.256
