DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:18:33 PM
0.00 mm;0.00 mm;-2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	3.530	-66.051
2	3.724	-66.691
3	3.734	-65.968
4	3.998	-66.943
5	4.819	-64.355
6	4.848	-66.648
7	4.990	-65.872
8	5.052	-65.876
9	5.082	-66.252
10	5.140	-65.851
11	5.176	-66.520
12	5.217	-66.515
13	5.293	-67.511
14	5.411	-65.375
15	5.503	-67.196
16	5.511	-66.289
17	5.577	-65.528
18	5.780	-66.043
19	6.145	-66.904
20	6.177	-66.178
21	6.447	-66.503
22	7.255	-66.883
23	7.302	-66.975
24	7.506	-66.125
25	7.542	-66.223
26	7.569	-65.996
27	7.742	-75.622
28	7.851	-66.630
29	9.897	-66.515
30	9.954	-66.771
31	10.085	-66.127
32	10.318	-66.266
33	11.162	-66.336
34	11.292	-67.008
35	11.651	-66.775
36	11.976	-66.464
37	13.934	-67.063
38	14.213	-66.900
39	14.263	-67.022
40	15.809	-67.509
41	16.604	-67.948
42	16.644	-66.683
43	16.961	-65.810
44	17.017	-66.661
45	17.097	-66.446
46	19.341	-69.285
47	20.073	-66.567
48	20.198	-66.871
49	20.286	-67.758
50	20.301	-66.652
51	20.310	-66.530
52	21.010	-66.450
53	21.376	-66.589
54	21.624	-66.806
55	21.868	-65.894
56	21.917	-66.875
57	22.771	-67.372
58	22.933	-66.779
59	23.031	-94.597
60	23.259	-66.724
61	27.052	-66.624
62	30.753	-68.273
63	31.189	-67.292
64	31.230	-65.737
65	31.252	-66.362
66	31.705	-65.636
67	32.744	-68.077
68	33.192	-66.370
69	35.591	-66.127
70	35.929	-66.425
71	36.667	-66.732
72	36.728	-66.971
73	39.043	-69.377
74	39.749	-66.744
75	40.576	-65.964
76	40.741	-65.970
77	41.063	-65.790
78	41.377	-66.115
79	41.414	-65.788
80	41.539	-66.630
81	41.573	-67.260
82	41.636	-65.849
83	41.717	-66.524
84	42.237	-66.027
85	42.330	-69.825
86	43.078	-66.955
87	43.181	-66.098
88	43.284	-67.110
89	43.968	-66.244
90	44.591	-67.411
91	44.793	-66.045
92	46.446	-65.898
93	46.752	-66.726
94	46.813	-64.475
95	46.961	-65.904
96	47.007	-66.644
97	47.096	-66.364
98	47.153	-65.959
99	47.530	-65.628
100	47.693	-66.885
101	47.736	-65.784
102	47.741	-66.528
103	47.806	-66.278
104	47.877	-65.659
105	47.889	-65.945
106	47.956	-66.746
107	48.062	-66.072
108	48.760	-66.211
109	51.906	-66.113
110	52.585	-66.145
111	52.707	-66.981
112	53.491	-65.874
113	55.224	-65.992
114	55.403	-66.446
115	57.156	-66.119
116	59.675	-65.575
117	61.657	-66.540
118	61.705	-66.240
119	65.178	-79.132
120	65.247	-66.289
121	66.649	-67.018
122	70.881	-66.824
123	71.469	-67.118
124	73.136	-66.851
125	73.784	-70.927
126	73.903	-66.959
127	74.000	-67.333
128	75.328	-66.818
129	78.842	-65.876
130	78.928	-66.967
131	79.393	-68.008
132	79.500	-66.503
133	79.513	-67.354
134	79.837	-70.450
135	79.902	-67.335
136	80.227	-66.628
137	80.304	-66.728
138	80.568	-67.016
139	81.160	-66.556
140	81.240	-66.843
141	81.617	-67.854
142	82.155	-66.513
143	82.623	-66.902
144	82.952	-66.607
145	82.983	-67.266
146	83.034	-66.935
147	83.427	-66.924
148	83.548	-66.951
149	83.604	-65.164
150	83.675	-68.002
151	83.691	-66.906
152	83.695	-66.646
153	83.864	-66.197
154	84.114	-67.020
155	86.414	-66.992
156	87.954	-67.029
157	88.256	-66.994
158	90.661	-25.943
159	91.125	-67.589
160	91.410	-66.145
161	91.461	-68.002
162	95.712	-67.225
163	99.218	-66.943
164	100.772	-68.508
165	101.042	-67.372
166	101.118	-66.796
167	101.233	-65.814
168	101.393	-66.440
169	101.545	-66.975
170	101.749	-66.368
171	102.983	-66.969
172	107.091	-5.586
173	107.224	-64.185
174	107.283	-67.159
175	107.946	-66.043
176	108.523	-65.365
177	108.862	-66.906
178	108.986	-66.683
179	109.021	-66.822
180	109.051	-67.202
181	109.186	-66.193
182	109.218	-66.605
183	109.534	-66.877
184	109.873	-67.306
185	109.915	-66.795
186	109.925	-66.601
187	111.589	-66.282
188	112.075	-65.498
189	112.094	-65.968
190	112.521	-66.536
191	112.611	-66.810
192	113.680	-65.036
193	119.372	-66.595
194	119.393	-65.563
195	120.406	-74.068
196	120.452	-67.170
197	120.663	-66.182
198	120.697	-65.810
199	121.006	-65.606
200	121.327	-68.022
201	125.153	-66.101
202	125.241	-66.051
203	126.491	-66.004
204	126.604	-65.696
205	126.641	-66.417
206	126.885	-66.205
207	127.029	-65.896
208	127.035	-66.297
209	127.166	-66.135
210	127.413	-66.558
211	135.338	-66.622
212	135.393	-66.021
213	135.480	-66.896
214	135.959	-66.963
215	135.963	-66.614
216	136.150	-66.836
217	142.689	-67.386
218	145.563	-67.047
219	145.746	-65.741
220	145.782	-66.209
221	145.788	-67.515
222	145.894	-67.889
223	146.530	-66.669
224	146.928	-66.753
225	147.342	-66.699
226	147.435	-67.670
227	148.046	-67.450
228	148.347	-67.253
229	148.609	-66.340
230	149.220	-67.057
231	149.246	-65.962
232	149.422	-66.796
233	149.475	-66.998
234	149.915	-66.687
235	150.187	-66.417
236	150.259	-64.711
237	150.278	-35.178
238	150.279	-67.607
