DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:18:42 PM
0.00 mm;0.00 mm;2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.252	-66.452
2	1.506	-66.299
3	2.045	-65.610
4	2.086	-65.618
5	2.163	-66.193
6	2.249	-65.655
7	3.252	-65.716
8	3.787	-65.773
9	4.759	-65.677
10	4.851	-66.446
11	4.916	-65.352
12	5.302	-65.328
13	5.385	-66.131
14	5.835	-65.665
15	5.848	-65.904
16	5.877	-65.569
17	5.941	-65.966
18	6.040	-66.558
19	6.068	-66.127
20	6.291	-65.679
21	6.460	-66.211
22	6.480	-65.569
23	6.698	-64.895
24	7.076	-66.403
25	7.263	-66.354
26	8.217	-65.453
27	8.251	-64.437
28	8.443	-64.623
29	9.385	-65.634
30	9.701	-65.033
31	11.323	-65.859
32	12.546	-65.829
33	13.111	-66.133
34	14.430	-66.282
35	14.527	-66.473
36	15.152	-65.921
37	15.223	-67.585
38	15.336	-65.884
39	15.644	-66.748
40	15.675	-67.167
41	16.078	-67.000
42	16.230	-65.775
43	16.256	-66.199
44	16.692	-65.684
45	16.813	-64.150
46	16.839	-65.604
47	17.242	-65.759
48	17.515	-66.491
49	18.594	-66.569
50	19.036	-65.520
51	19.169	-66.603
52	19.172	-65.692
53	19.315	-65.976
54	19.401	-65.953
55	19.440	-65.220
56	19.659	-65.927
57	20.063	-65.994
58	21.803	-67.278
59	22.758	-66.679
60	22.895	-68.519
61	31.532	-66.800
62	32.820	-66.256
63	33.332	-66.364
64	36.892	-66.560
65	39.001	-66.517
66	39.592	-67.585
67	40.049	-67.198
68	40.062	-66.546
69	40.134	-67.366
70	40.297	-67.182
71	40.357	-66.407
72	40.521	-94.527
73	41.643	-67.540
74	41.976	-66.332
75	42.106	-67.873
76	42.114	-64.038
77	42.535	-66.802
78	42.562	-66.532
79	42.603	-69.849
80	42.691	-59.003
81	42.804	-66.472
82	42.958	-66.356
83	43.010	-66.738
84	43.028	-66.937
85	43.138	-67.568
86	43.174	-69.639
87	43.187	-67.243
88	43.420	-65.616
89	43.489	-66.129
90	43.849	-66.278
91	44.956	-66.857
92	45.075	-66.147
93	46.258	-65.792
94	46.522	-66.996
95	47.365	-65.775
96	47.375	-66.665
97	47.415	-66.853
98	47.819	-66.374
99	48.176	-66.368
100	48.318	-65.042
101	48.328	-66.031
102	48.473	-66.442
103	48.694	-66.004
104	49.187	-66.240
105	49.220	-65.780
106	49.327	-67.235
107	49.337	-67.576
108	49.418	-67.078
109	50.385	-67.750
110	50.535	-67.029
111	50.835	-66.638
112	50.888	-69.299
113	50.920	-66.650
114	51.067	-36.465
115	51.151	-66.883
116	51.454	-66.376
117	52.887	-65.986
118	53.759	-67.020
119	54.243	-67.464
120	54.296	-65.802
121	54.787	-65.688
122	55.418	-65.710
123	55.525	-66.376
124	56.915	-66.278
125	57.173	-67.182
126	57.632	-67.116
127	57.820	-66.013
128	58.575	-66.603
129	59.244	-65.344
130	60.748	-65.843
131	60.760	-66.458
132	60.961	-25.090
133	61.166	-65.759
134	63.286	-66.041
135	65.626	-66.127
136	65.697	-64.958
137	65.784	-66.890
138	66.084	-65.792
139	66.555	-66.045
140	66.868	-66.403
141	67.276	-65.696
142	67.317	-65.853
143	67.596	-65.244
144	67.618	-65.626
145	67.667	-63.776
146	67.871	-65.138
147	68.068	-66.979
