DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:16:22 PM
0.00 mm;0.00 mm;-1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.394	-64.016
2	0.398	-54.300
3	0.513	-61.133
4	0.855	-54.181
5	0.942	-53.748
6	0.981	-54.676
7	1.017	-54.235
8	2.309	-54.030
9	2.485	-54.247
10	2.546	-54.406
11	2.677	-53.711
12	2.751	-53.419
13	2.879	-53.625
14	3.461	-53.260
15	4.076	-53.386
16	4.105	-53.883
17	4.293	-53.701
18	4.407	-54.124
19	5.534	-54.711
20	8.267	-54.715
21	9.815	-54.429
22	10.098	-53.603
23	10.306	-54.108
24	10.434	-54.210
25	14.396	-89.871
26	15.352	-52.955
27	16.201	-53.382
28	16.578	-54.476
29	17.073	-54.968
30	17.181	-54.462
31	17.371	-55.267
32	17.391	-55.167
33	17.691	-55.007
34	17.720	-54.208
35	17.739	-54.455
36	17.809	-54.089
37	17.880	-54.919
38	17.891	-53.670
39	18.021	-54.361
40	18.064	-54.124
41	18.764	-54.609
42	18.775	-55.933
43	18.816	-27.654
44	19.337	-53.777
45	19.754	-31.177
46	19.885	-55.017
47	20.081	-54.024
48	20.363	-55.103
49	21.220	-54.269
50	21.351	-53.906
51	21.414	-52.653
52	21.422	-54.376
53	21.662	-53.652
54	21.767	-54.323
55	22.275	-54.500
56	23.370	-83.749
57	23.814	-54.983
58	24.878	-40.852
59	24.986	-54.740
60	25.159	-54.970
61	25.182	-54.496
62	25.184	-54.224
63	25.466	-56.661
64	25.507	-54.515
65	25.821	-54.386
66	25.943	-54.596
67	26.531	-54.948
68	26.904	-54.866
69	27.013	-54.462
70	27.074	-53.934
71	27.093	-54.214
72	27.198	-54.719
73	27.203	-54.690
74	30.287	-54.901
75	30.357	-55.087
76	30.778	-54.668
77	30.853	-52.697
78	30.985	-55.095
79	31.005	-53.139
80	31.246	-54.106
81	31.248	-54.073
82	31.593	-55.921
83	31.841	-54.668
84	31.852	-53.852
85	31.977	-54.118
86	33.449	-54.772
87	33.522	-54.310
88	34.607	-54.517
89	34.613	-55.022
90	34.642	-54.870
91	34.679	-55.183
92	34.836	-55.007
93	35.171	-55.939
94	35.607	-54.780
95	35.766	-55.369
96	36.316	-55.322
97	36.422	-54.731
98	36.499	-55.112
99	37.387	-55.269
100	38.785	-54.666
101	38.937	-54.372
102	39.152	-55.265
103	39.480	-54.617
