DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:16:28 PM
0.00 mm;0.00 mm;2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	1.193	-54.883
2	1.201	-55.287
3	1.263	-54.876
4	2.624	-54.966
5	2.671	-55.191
6	2.705	-54.858
7	3.177	-55.388
8	4.067	-58.288
9	5.507	-54.836
10	6.215	-54.760
11	6.494	-53.611
12	6.962	-55.410
13	7.155	-54.030
14	8.887	-53.540
15	8.954	-55.753
16	8.965	-55.302
17	9.171	-54.568
18	9.239	-53.865
19	9.550	-54.558
20	9.657	-54.112
21	9.766	-54.733
22	9.788	-54.590
23	9.814	-54.891
24	9.949	-55.355
25	9.969	-55.261
26	10.058	-53.159
27	10.329	-54.973
28	10.898	-55.502
29	10.924	-54.713
30	11.119	-54.742
31	11.669	-86.909
32	13.121	-54.668
33	13.254	-54.335
34	13.368	-54.899
35	13.612	-55.101
36	14.044	-53.836
37	14.134	-55.676
38	15.190	-55.369
39	15.231	-54.494
40	15.889	-55.103
41	16.893	-54.564
42	20.352	-55.060
43	20.680	-54.398
44	20.736	-54.026
45	20.863	-54.247
46	20.878	-55.392
47	21.414	-54.480
48	21.426	-53.993
49	22.305	-54.045
50	22.847	-54.799
51	23.042	-54.441
52	23.456	-54.666
53	24.123	-54.296
54	24.307	-30.493
55	28.381	-54.415
56	28.534	-54.688
57	28.577	-55.017
58	29.393	-54.333
59	29.481	-54.911
60	29.587	-54.680
61	30.389	-54.692
62	30.426	-55.418
63	30.527	-53.991
64	30.691	-54.611
65	30.710	-54.954
66	30.722	-54.472
67	30.850	-54.290
68	31.245	-54.478
69	31.711	-54.695
70	31.779	-54.823
71	31.874	-55.142
72	31.943	-54.968
73	32.017	-54.737
74	32.598	-55.038
75	32.872	-54.629
76	33.023	-55.124
77	33.084	-54.885
78	33.093	-54.249
79	33.101	-55.653
80	33.303	-54.780
81	33.554	-54.596
82	33.624	-54.725
83	33.736	-55.069
84	33.900	-54.345
85	33.961	-54.701
86	34.071	-34.421
87	34.117	-54.752
88	34.440	-54.472
89	34.483	-55.369
90	36.163	-55.167
91	36.256	-52.957
92	36.418	-55.124
93	36.437	-54.549
94	36.963	-54.968
95	37.063	-55.355
96	37.110	-56.747
97	37.355	-54.825
98	37.859	-55.739
99	37.872	-54.339
100	38.166	-54.815
101	38.453	-54.674
102	39.218	-55.107
103	39.819	-56.348
104	39.943	-55.015
105	41.181	-54.460
106	41.329	-54.517
107	41.629	-54.874
108	41.953	-55.616
109	43.514	-55.899
110	46.617	-80.027
111	48.019	-54.883
112	48.101	-55.422
113	48.181	-55.357
114	48.353	-55.103
115	48.797	-55.116
116	48.844	-66.395
117	48.872	-56.111
118	49.321	-56.138
119	49.953	-54.801
120	50.077	-53.736
121	50.269	-55.543
122	50.690	-53.877
123	50.745	-55.418
124	50.813	-55.246
125	50.860	-54.163
126	51.420	-55.017
127	53.139	-55.263
128	53.278	-55.283
129	53.518	-54.709
130	54.243	-55.159
131	54.297	-55.201
132	55.317	-53.930
133	55.358	-54.570
134	55.443	-55.461
135	55.550	-55.416
136	55.749	-54.466
137	56.598	-54.592
138	56.684	-56.174
139	56.889	-55.015
