DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:16:27 PM
0.00 mm;0.00 mm;1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.711	-54.752
2	1.289	-54.668
3	1.299	-53.762
4	1.536	-54.245
5	1.648	-54.889
6	1.729	-54.218
7	2.878	-54.805
8	3.645	-54.318
9	3.704	-54.543
10	4.340	-53.846
11	4.584	-55.079
12	4.981	-55.034
13	5.867	-53.971
14	6.455	-54.556
15	6.488	-54.351
16	6.567	-54.856
17	6.730	-54.139
18	6.815	-54.421
19	6.827	-54.034
20	7.295	-55.332
21	8.399	-54.831
22	8.671	-54.840
23	9.226	-55.189
24	9.229	-55.201
25	9.400	-54.188
26	9.532	-54.100
27	9.838	-54.782
28	9.990	-54.817
29	9.994	-54.780
30	10.006	-56.696
31	10.036	-54.347
32	10.440	-55.688
33	11.542	-54.907
34	12.972	-54.693
35	13.966	-53.998
36	14.049	-55.022
37	14.454	-54.325
38	14.467	-55.404
39	14.697	-55.498
40	14.762	-55.302
41	14.928	-36.578
42	15.039	-55.723
43	15.353	-54.686
44	15.453	-54.306
45	15.504	-55.424
46	16.024	-55.154
47	16.044	-55.287
48	17.744	-53.887
49	18.729	-88.040
50	18.811	-54.650
51	19.013	-55.206
52	19.135	-55.790
53	19.462	-54.923
54	19.518	-54.883
55	19.533	-55.526
56	19.558	-54.738
57	19.585	-54.316
58	20.177	-54.899
59	20.726	-54.400
60	20.866	-55.657
61	21.083	-55.216
62	21.171	-54.556
63	21.541	-55.933
64	21.775	-55.502
65	23.713	-55.375
66	24.462	-54.770
67	24.531	-54.306
68	26.059	-53.783
69	26.123	-54.825
70	27.087	-56.115
71	27.388	-54.314
72	27.644	-55.136
73	27.683	-54.903
74	27.955	-8.319
75	27.956	-54.588
76	27.987	-56.185
77	29.376	-55.128
78	29.488	-54.643
79	29.501	-54.850
80	29.532	-55.447
81	30.219	-54.901
82	30.243	-55.189
83	30.262	-55.441
84	30.297	-62.542
85	30.384	-55.571
86	30.390	-55.394
87	31.262	-54.936
88	31.484	-55.206
89	31.532	-54.543
90	31.786	-54.134
91	31.841	-55.026
92	31.886	-54.738
93	31.909	-77.809
94	31.956	-16.573
95	32.191	-54.425
96	32.312	-53.873
97	33.081	-73.743
98	33.124	-54.455
99	33.427	-56.119
100	33.782	-55.167
101	33.844	-55.179
102	34.947	-86.787
103	37.666	-54.913
104	37.954	-54.650
105	38.150	-54.437
106	38.191	-54.989
107	38.598	-55.573
108	38.661	-55.807
109	38.730	-53.697
110	39.067	-56.040
111	39.393	-54.876
112	39.919	-54.748
113	40.073	-55.543
114	40.112	-55.594
115	40.371	-54.697
116	40.518	-55.619
117	40.777	-54.901
118	40.837	-54.688
119	41.030	-54.590
120	41.145	-54.132
121	41.203	-54.081
122	41.233	-54.701
123	41.289	-55.199
124	41.454	-55.124
125	42.279	-54.684
126	42.384	-54.834
127	42.391	-54.907
128	42.463	-55.052
129	42.511	-54.707
130	43.022	-55.410
131	43.091	-54.562
132	43.378	-54.633
133	43.515	-54.615
134	43.525	-75.560
135	43.687	-54.233
136	43.900	-55.124
137	44.014	-55.054
138	44.195	-54.437
139	44.197	-55.101
140	45.107	-53.268
141	45.226	-54.594
142	45.432	-54.132
143	45.449	-54.936
144	45.584	-54.705
145	45.630	-55.001
146	45.645	-55.026
147	45.935	-54.320
148	46.043	-55.486
149	46.081	-54.527
150	46.243	-54.629
151	46.707	-55.054
152	46.731	-53.985
153	48.631	-54.758
154	49.212	-54.533
155	49.654	-55.843
156	51.280	-55.336
157	52.625	-54.137
158	54.547	-55.682
159	54.788	-55.022
160	54.947	-54.883
161	55.245	-55.336
162	55.349	-54.484
163	55.427	-54.768
164	56.526	-54.756
165	56.979	-53.585
166	57.130	-55.549
167	57.134	-54.521
168	59.323	-54.406
169	59.362	-54.335
170	59.402	-53.932
171	59.499	-54.692
172	59.573	-54.184
173	59.597	-55.774
174	59.634	-54.971
175	59.753	-55.594
176	59.758	-54.476
177	60.024	-54.776
178	60.230	-54.596
179	60.303	-54.645
180	60.473	-53.857
181	60.919	-54.194
182	60.937	-11.714
183	61.287	-55.007
184	62.015	-93.258
185	62.814	-54.327
186	62.913	-54.051
187	62.946	-54.590
188	63.077	-54.414
189	63.169	-54.182
190	63.303	-54.966
191	63.326	-54.554
192	63.362	-54.404
193	63.461	-54.513
194	63.626	-54.799
195	64.152	-93.616
196	65.067	-54.752
197	65.219	-53.791
198	65.345	-54.879
199	65.519	-54.809
200	66.024	-55.420
201	66.794	-54.578
202	67.145	-54.825
203	67.206	-54.468
204	67.432	-76.969
205	67.827	-54.631
206	67.841	-53.848
207	68.316	-55.003
208	71.743	-53.642
209	72.569	-55.962
210	72.738	-55.367
211	72.876	-55.197
212	73.073	-62.758
213	73.245	-54.335
214	75.650	-54.206
215	75.659	-54.545
216	75.796	-55.567
217	78.443	-55.396
218	78.693	-55.036
219	78.760	-55.295
220	79.094	-55.159
221	81.064	-55.952
222	82.062	-54.556
223	82.232	-55.126
224	82.481	-3.670
225	82.525	-54.472
226	83.959	-54.415
227	84.039	-54.960
228	84.070	-54.611
229	84.476	-54.878
230	84.565	-55.177
231	84.924	-54.114
232	87.356	-54.543
233	87.569	-54.966
234	87.821	-55.228
235	87.825	-54.504
236	88.125	-55.177
237	89.784	-55.508
238	89.857	-54.866
239	89.905	-55.471
240	89.960	-55.488
241	89.979	-54.762
242	90.204	-54.014
243	90.315	-55.112
244	90.385	-54.738
245	90.783	-57.712
246	90.922	-55.154
247	90.966	-54.498
248	91.042	-54.582
249	91.262	-55.058
250	91.463	-54.705
251	91.779	-55.128
252	91.911	-55.052
253	91.916	-55.110
254	92.355	-55.561
255	94.095	-54.915
256	94.916	-80.622
257	96.308	-55.017
258	96.387	-53.883
259	96.426	-55.293
260	98.844	-54.719
261	98.915	-54.594
262	98.983	-55.653
263	101.634	-54.840
264	101.808	-54.118
265	101.860	-54.431
266	101.961	-54.838
267	102.254	-54.879
268	102.467	-54.226
269	102.559	-54.425
270	102.587	-54.580
271	102.667	-55.524
272	102.715	-53.744
273	102.785	-54.228
274	102.831	-55.120
275	102.850	-54.891
276	102.862	-55.616
277	102.904	-53.652
278	102.913	-54.913
279	103.005	-55.154
280	107.074	-55.571
281	107.351	-54.784
282	109.246	-55.193
283	109.844	-55.473
284	110.310	-54.059
285	111.348	-54.962
286	112.313	-56.847
287	112.354	-54.852
288	112.467	-54.652
289	112.473	-54.257
