DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:11:46 PM
0.00 mm;0.00 mm;-1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	3.088	-42.690
2	4.472	-41.783
3	4.658	-43.167
4	4.887	-41.918
5	5.236	-41.891
6	5.532	-41.832
7	5.711	-42.120
8	5.799	-40.514
9	5.851	-40.800
10	6.047	-42.218
11	6.216	-42.709
12	6.264	-42.247
13	6.359	-42.451
14	6.363	-15.545
15	6.470	-42.746
16	6.720	-41.536
17	6.816	-41.554
18	6.835	-42.363
19	7.013	-42.124
20	7.177	-41.734
21	7.203	-42.782
22	7.216	-44.326
23	7.338	-41.961
24	7.616	-41.681
25	7.692	-41.998
26	7.736	-41.983
27	7.806	-44.561
28	7.983	-41.558
29	8.047	-42.411
30	8.216	-42.578
31	8.229	-39.271
32	8.286	-41.149
33	8.299	-41.534
34	8.420	-43.173
35	8.435	-41.983
36	8.439	-41.981
37	8.461	-42.770
38	8.476	-45.434
39	8.549	-42.276
40	8.623	-42.004
41	8.637	-41.358
42	8.641	-42.047
43	8.668	-42.120
44	8.817	-38.568
45	8.867	-41.358
46	9.035	-41.666
47	9.384	-41.893
48	9.572	-40.888
49	9.735	-42.255
50	9.736	-43.026
51	9.765	-42.182
52	9.795	-42.815
53	9.879	-42.194
54	9.892	-42.132
55	9.951	-41.957
56	9.978	-41.754
57	10.035	-41.505
58	10.059	-41.466
59	10.201	-41.458
60	10.272	-41.901
61	10.322	-42.130
62	10.363	-42.411
63	10.385	-42.226
64	10.417	-42.182
65	10.477	-40.988
66	10.584	-41.920
67	10.737	-41.926
68	10.904	-41.523
69	10.927	-42.312
70	11.174	-41.668
71	11.209	-42.398
72	11.249	-42.609
73	15.669	-42.147
74	17.015	-41.738
75	17.894	-41.487
76	17.899	-42.641
77	17.907	-38.929
78	18.139	-41.848
79	18.170	-41.711
80	18.172	-42.768
81	18.175	-41.482
82	18.359	-42.776
83	18.369	-41.752
84	18.387	-43.171
85	18.435	-41.628
86	18.594	-42.807
87	18.629	-42.337
88	18.720	-41.955
89	18.797	-42.897
90	18.951	-41.499
91	18.992	-42.337
92	19.000	-41.793
93	19.113	-41.906
94	19.149	-41.953
95	19.223	-42.269
