DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:11:49 PM
0.00 mm;0.00 mm;1.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	0.483	-42.014
2	0.570	-42.515
3	0.748	-42.811
4	0.838	-41.333
5	3.358	-11.396
6	3.614	-43.118
7	3.660	-43.060
8	3.743	-42.437
9	4.051	-42.132
10	4.138	-41.558
11	4.171	-41.852
12	4.660	-41.879
13	4.910	-42.124
14	5.289	-41.204
15	5.317	-41.824
16	5.423	-41.738
17	5.977	-42.682
18	6.932	-41.961
19	7.033	-43.798
20	7.228	-42.644
21	7.427	-42.259
22	7.515	-41.805
23	7.547	-42.071
24	7.570	-41.711
25	7.577	-41.832
26	7.583	-42.480
27	7.630	-42.386
28	7.801	-41.993
29	7.818	-42.402
30	8.162	-42.374
31	8.213	-42.241
32	8.831	-42.214
33	8.857	-42.341
34	8.865	-42.339
35	9.088	-42.378
36	9.326	-42.881
37	9.743	-42.226
38	9.867	-42.020
39	9.969	-42.688
40	10.004	-42.594
41	10.110	-42.298
42	10.164	-42.206
43	10.318	-42.339
44	10.342	-41.460
45	10.433	-41.875
46	10.475	-41.376
47	10.536	-42.856
48	10.664	-44.050
49	10.826	-42.341
50	10.852	-41.750
51	10.925	-40.884
52	11.029	-42.435
53	11.045	-41.975
54	11.046	-41.413
55	11.283	-42.055
56	11.301	-42.018
57	11.314	-42.566
58	11.394	-42.793
59	12.325	-43.179
60	12.723	-42.537
61	13.911	-43.925
62	14.023	-43.087
63	15.004	-40.953
64	15.115	-41.252
65	15.504	-42.599
66	15.817	-39.545
67	16.272	-47.562
68	16.767	-42.192
69	17.065	-42.308
70	18.029	-42.155
71	18.059	-43.700
72	18.062	-42.259
73	18.088	-41.462
74	18.274	-45.058
75	18.284	-42.899
76	18.323	-41.918
77	18.383	-41.924
78	18.390	-42.314
79	18.501	-42.149
80	19.098	-41.850
81	19.124	-42.049
82	19.136	-41.370
83	20.037	-41.836
84	20.307	-41.677
85	20.510	-42.300
86	20.650	-43.298
87	20.720	-42.257
88	21.664	-41.799
89	21.994	-42.290
90	22.124	-42.368
91	22.174	-41.969
92	22.191	-42.462
93	22.265	-41.967
94	22.313	-41.605
95	22.338	-42.762
96	22.402	-42.137
97	22.459	-42.756
98	22.644	-41.963
99	22.750	-42.625
100	22.840	-42.126
101	22.843	-43.482
102	22.938	-42.018
103	23.097	-42.419
104	23.138	-42.453
105	23.175	-41.861
106	23.253	-43.529
107	23.279	-42.752
108	23.320	-42.239
109	23.385	-42.556
110	23.442	-42.631
111	23.552	-42.120
112	23.554	-41.750
113	23.593	-42.222
114	23.597	-42.304
115	23.652	-42.090
116	23.726	-41.407
117	23.739	-40.403
118	24.031	-42.627
119	24.050	-42.842
120	24.081	-42.805
121	24.197	-41.511
122	24.246	-43.161
123	24.264	-42.668
124	24.267	-41.985
125	24.321	-42.592
126	24.424	-41.973
127	24.636	-44.587
128	24.640	-41.695
129	24.690	-34.394
130	24.801	-42.815
131	24.836	-42.249
132	24.910	-41.615
133	24.920	-41.840
134	24.974	-42.116
135	25.072	-41.740
136	25.164	-41.936
137	25.174	-41.724
138	25.230	-42.008
139	25.374	-42.690
140	25.507	-42.556
141	25.522	-42.265
142	25.527	-41.738
143	25.666	-41.671
144	25.749	-41.274
145	25.765	-42.482
146	25.785	-43.060
147	25.821	-42.419
148	25.904	-41.435
149	25.951	-41.411
150	26.008	-43.140
151	26.056	-42.875
152	26.089	-42.592
153	26.093	-42.159
154	26.101	-42.439
155	26.180	-42.163
156	26.202	-42.341
157	26.256	-42.208
158	26.259	-43.199
159	26.484	-42.652
160	26.503	-41.901
161	26.591	-42.233
162	26.613	-42.921
163	26.649	-42.347
164	26.702	-41.879
165	26.820	-43.271
166	26.869	-41.615
