DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
3:11:44 PM
0.00 mm;0.00 mm;-2.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	1.222	-39.449
2	1.774	-23.566
3	3.530	-42.292
4	3.534	-42.435
5	3.600	-42.417
6	3.607	-42.175
7	3.933	-41.478
8	4.330	-43.136
9	5.315	-42.083
10	5.567	-39.169
11	5.639	-42.425
12	5.993	-45.115
13	6.938	-41.530
14	7.004	-40.724
15	7.240	-41.294
16	7.262	-46.421
17	7.562	-42.069
18	7.669	-42.126
19	9.740	-41.008
20	9.980	-26.277
21	10.654	-41.981
22	10.846	-42.623
23	10.926	-41.576
24	10.994	-41.711
25	11.134	-42.535
26	11.191	-42.813
27	11.392	-40.796
28	11.468	-42.069
29	11.583	-42.314
30	11.691	-42.306
31	11.813	-41.591
32	11.815	-41.993
33	11.822	-42.102
34	12.446	-42.376
35	12.551	-43.013
36	12.602	-41.718
37	12.639	-42.398
38	12.718	-41.417
39	12.761	-43.046
40	12.810	-2.610
41	12.886	-42.693
42	12.942	-41.812
43	13.046	-44.581
44	13.115	-41.846
45	13.295	-41.431
46	13.318	-42.693
47	14.140	37.214
48	14.587	-42.335
49	14.595	-41.429
50	14.746	-42.343
51	15.650	-42.284
52	15.826	-41.346
53	17.054	-42.337
54	17.419	-42.065
55	18.200	-41.859
56	18.578	-41.877
57	18.853	-41.957
58	18.931	-41.346
59	19.038	-41.587
60	19.383	-41.922
61	19.430	-41.844
62	19.664	-41.787
63	19.780	-42.815
64	20.406	-41.730
65	20.488	-41.646
66	21.770	-41.401
67	21.872	-42.098
68	22.115	-41.673
69	22.192	-42.302
70	22.487	-41.779
71	22.549	-42.676
72	22.957	-42.259
73	23.287	-42.351
74	23.400	-42.392
75	23.535	-41.814
76	23.761	-42.525
77	25.584	-42.036
78	25.915	-42.858
79	25.920	-42.231
80	25.946	-40.906
81	26.015	-42.458
82	26.061	-9.640
83	26.067	-42.877
84	26.100	-41.536
85	26.135	-41.991
86	26.172	-42.498
87	26.329	-41.922
88	26.349	-42.782
89	26.414	-42.772
90	26.443	-42.417
91	26.573	-41.630
92	26.640	-41.998
93	26.651	-41.826
94	26.664	-42.709
95	26.700	-42.069
96	26.738	-42.310
97	26.752	-42.361
98	26.793	-41.854
99	26.857	-42.574
100	26.863	-42.233
101	26.883	-42.000
102	26.906	-41.433
103	27.007	-41.609
104	27.067	-42.560
105	27.084	-41.597
106	27.121	-41.294
107	27.242	-41.503
108	27.284	-42.247
109	27.304	-40.920
110	27.314	-41.141
111	27.479	-41.985
112	27.545	-42.650
113	27.548	-41.996
114	27.557	-42.077
115	27.576	-41.928
116	27.610	-42.596
117	27.626	-42.468
118	27.722	-41.605
119	27.740	-42.059
120	27.790	-41.687
121	27.843	-42.701
122	27.882	-41.914
123	27.918	-42.300
124	27.932	-41.709
125	27.963	-40.978
126	27.967	-41.993
127	27.975	-41.041
128	28.012	-41.871
129	28.073	-41.875
130	28.090	-41.961
131	28.117	-42.118
132	28.223	-42.100
133	28.308	-41.407
134	28.477	-41.452
135	28.561	-42.274
136	28.577	-42.331
137	28.594	-41.916
138	28.814	-42.075
139	28.830	-41.378
140	28.848	-41.852
141	29.015	-42.179
142	29.050	-42.386
143	29.096	-41.953
144	29.276	-14.640
145	29.305	-41.623
146	29.342	-42.165
147	29.403	-41.818
148	29.637	-42.186
149	29.664	-41.807
150	29.667	-41.801
151	29.705	-16.310
152	29.765	-41.362
153	29.802	-43.338
154	29.880	-41.658
155	29.917	-42.545
156	29.948	-41.922
157	29.952	-42.460
158	29.993	-40.933
159	30.009	-41.192
160	30.030	-42.261
161	30.078	-42.619
162	30.216	-41.951
163	30.223	-42.472
164	30.228	-42.607
165	30.282	-42.110
166	30.322	-41.724
167	30.542	-42.114
168	30.623	-42.664
169	30.638	-40.853
170	30.642	-41.791
171	30.705	-41.593
172	30.946	-41.386
173	31.043	-41.830
174	31.066	-41.579
175	31.107	-42.224
176	31.154	-43.048
177	31.170	-41.989
178	31.214	-42.069
179	31.296	-43.124
180	31.303	-41.501
181	31.312	-42.699
182	31.427	-42.204
183	31.486	-42.175
184	31.500	-41.834
185	31.515	-41.920
186	31.523	-41.722
187	31.538	-42.304
188	31.583	-40.931
