DXEX v3
C:\Documents and Settings\LDA\My Documents\TM_SANTOS\Equipo_5\Trailer.lda
2:51:05 PM
0.00 mm;0.00 mm;0.00 mm
Region1
"Row#"	"AT [ms]"	"LDA1 [m/s]"	
1	102.481	-29.557
2	555.709	-29.720
3	755.369	-28.653
4	755.458	-29.223
5	756.415	-29.963
6	762.642	-29.573
7	767.231	-29.317
8	784.834	-30.106
9	807.912	-29.105
10	808.119	-29.569
11	826.031	-29.667
12	826.514	-28.860
13	826.945	-29.323
14	828.120	-29.119
15	828.273	-4.858
16	828.535	-29.031
17	829.790	-28.921
18	830.159	-11.456
19	831.163	-23.498
20	832.254	-29.430
21	834.956	-30.039
22	835.136	-30.241
23	835.160	-29.313
24	854.588	-29.252
25	862.409	-29.368
26	862.448	-28.291
27	865.613	-29.567
28	865.871	-29.180
29	866.884	-28.970
30	867.430	-29.097
31	867.619	-29.818
32	868.331	-29.193
33	868.606	-29.542
34	868.654	-29.358
35	868.657	-29.681
36	868.685	-30.343
37	868.813	-29.205
38	870.194	-29.389
39	885.029	-28.230
40	886.740	18.028
41	886.919	-30.008
42	887.111	-28.817
43	889.461	-30.020
44	890.450	-29.696
45	890.743	-30.162
46	891.146	-27.613
47	891.689	-29.033
48	891.806	-28.616
49	891.808	-29.785
50	891.841	-28.927
51	892.316	-29.342
52	895.145	-29.626
53	896.254	-29.526
54	897.631	-29.949
55	900.598	-29.236
56	901.083	-29.187
57	901.963	-29.994
58	902.567	-28.704
59	902.682	-28.481
60	903.433	-28.849
61	903.669	-28.862
62	903.858	-29.665
63	904.514	-29.424
64	904.596	-29.307
65	904.927	-29.675
66	905.275	-29.632
67	905.411	-28.925
68	905.416	-28.183
69	905.991	-28.851
70	906.133	-29.307
71	906.627	-29.045
72	906.871	-29.528
73	907.494	-28.534
74	907.730	-30.037
75	909.031	-29.702
76	911.725	-29.352
77	911.913	-19.915
78	912.353	-29.557
79	914.317	-29.191
80	914.613	-28.383
81	915.045	-28.958
82	916.248	-29.465
83	916.419	-29.904
84	917.099	-30.151
85	919.795	-29.698
86	920.621	-28.792
87	921.417	-29.242
88	921.509	-29.622
89	921.582	-29.503
90	922.111	-30.010
91	922.776	-29.105
92	923.176	-28.320
93	923.184	-29.144
94	923.193	-29.616
95	923.934	-28.673
96	924.610	-29.272
97	924.891	-29.362
98	934.671	-28.690
99	938.313	-29.309
100	940.615	-30.159
101	942.341	-29.399
102	942.773	-29.285
103	942.988	-28.569
104	943.209	-29.501
105	944.156	-29.303
106	944.284	-28.694
107	944.637	-28.933
108	944.649	-29.651
109	946.466	-29.491
110	948.627	-30.897
111	949.072	-29.129
112	949.190	-29.256
113	949.486	-29.507
114	949.868	-29.812
115	950.320	-29.119
116	950.427	-29.542
117	950.606	-29.303
118	951.688	-3.294
119	952.398	-29.379
120	960.323	-29.187
121	975.664	-29.172
122	977.985	-28.536
123	978.311	-29.066
124	978.636	-29.471
125	979.439	-30.583
126	1009.241	-29.538
127	1009.923	-29.262
128	1011.740	-28.369
129	1011.915	-29.041
130	1012.156	-30.431
131	1013.234	-28.379
132	1014.099	-29.473
133	1014.726	-29.332
134	1015.353	-29.311
135	1016.504	-30.194
136	1019.479	-29.146
137	1021.354	-29.305
138	1025.524	-29.409
139	1025.743	-29.240
140	1026.149	-29.242
141	1026.798	-29.462
142	1028.990	-30.323
143	1029.013	-28.383
144	1030.552	14.512
145	1030.638	-29.199
146	1031.181	-28.917
147	1033.474	-28.396
148	1034.792	-29.849
149	1035.633	-29.162
150	1035.829	-28.970
151	1035.850	-30.221
152	1036.393	-29.009
153	1036.406	-29.593
154	1038.974	-28.849
155	1039.429	-29.503
156	1039.569	-28.438
157	1039.640	-28.964
158	1039.680	-29.755
159	1040.155	-29.099
160	1041.148	-29.238
161	1041.871	-29.395
162	1041.900	-29.138
163	1042.445	-29.330
164	1042.722	-28.966
165	1043.774	-34.742
166	1044.803	-28.847
167	1046.302	-29.105
168	1054.427	-29.043
169	1056.971	-30.417
170	1058.527	-28.796
171	1059.515	-29.818
172	1059.802	-29.387
173	1059.938	-29.352
174	1060.539	-28.628
175	1060.927	-29.393
176	1061.213	-29.054
177	1062.377	-29.334
178	1064.160	-28.774
179	1065.056	-28.835
180	1065.367	-27.772
181	1065.696	-30.343
182	1066.313	-29.571
183	1079.374	-29.078
184	1079.517	-29.027
185	1080.127	-29.199
186	1081.978	-29.090
187	1084.781	-28.692
188	1084.942	-29.266
189	1088.000	-28.126
190	1088.795	-28.716
191	1095.869	-29.761
192	1099.230	-29.565
193	1099.269	-28.635
194	1107.360	-29.178
195	1111.616	-30.125
196	1112.438	-29.068
197	1112.459	-29.131
